COUNT,EVT_GP
12565580,17
11104496,16
36007698,13
2168779,14
867221,15
19713944,17
88118318,16
1346768,13
3032027,14
240563,15
15247757,17
10091414,16
19811,13
18449,14
1221,15
1074340,17
8230532,16
1289,13
385,14
593,15
234176,17
399676,16
1012687,13
80810,14
15180,15
642742,17
11325851,16
23004,13
110399,14
6075,15
780594,17
13837025,16
2124868,60
703596,61
21228,62
1841014,63
186439674,64
50264965,65
58373610,66
53372307,67
178732202,68
330,69
1376217,60
246796,61
394242,62
2484410,63
584249482,64
45509982,65
8824888,66
370962812,67
42376118,68
5431,69
9192697,60
3749962,61
3229,62
1589759,63
28132122,64
7954297,65
13378195,66
11794939,67
13600746,68
1898,69
4780397,60
783,61
19367,62
903736,63
89212011,64
5932544,65
17231820,66
82609233,67
2087164,68
662296,69
