PLOT_ID,SUBPLOT_ID,x,y,Fuelbed_nu,Fuelbed_Na,Depth_shru,Depth_nonW,Depth_wood,Depth_LLM,Depth_surf,Depth_lowF,Tree_overs,Tree_midst,Tree_under,Tree_bole_,Tree_above,Snag_cla_2,Snag_cla_3,Snag_cla_4,LadderFuel,Shrub_prim,Shrub_seco,Shrub_need,Nonwoody_p,Nonwoody_s,Woody_soun,Woody_so_1,Woody_so_2,Woody_so_3,Woody_so_4,Woody_so_5,Woody_rott,Woody_ro_1,Woody_ro_2,LLM_litter,GroundFuel,GroundFu_1,GroundFu_2,FCCS,EVT,MODIS Enhanced,SRS Group,EVG_GP,EVG_PHYS,EVG_GP_N,SAF/SRM
541,0,423401.4409,3678246.085,736,Hardwood forest 60+ years,51.816,27.432,4.318000406,3.81,2.609991122,0.863600142,26.96502239,11.19176828,1.761582356,385.6224064,424.6851004,33.27539646,0,0,0.672510693,0.682417605,0,0,0,0,0.291421323,1.188102292,3.13838346,0,0.672510693,0.336255347,0,1.905446965,0.336255347,6.725107383,3.486295435,7.626271712,0.00060526,900,3292,966,Hardwoods,16,Developed,Developed-Upland Herbaceous,LF 20: Developed
712,0,449190.6893,3681471.677,937,Pine - Mixed hardwoods   forest 21-40 years,33.528,33.528,4.572,3.30200002,5.227472095,0.2286,7.509537978,17.08863122,5.085719771,108.0137,134.3183953,28.92030688,0,0,0.672510693,0.857397468,0,2.241702311,0,0,0.291421323,1.188102292,3.653974992,2.465872543,0,0,0.851846946,1.120851156,0,5.828426234,8.966809246,9.078894361,0.001378647,900,3292,1044,Pine-Hardwood mix,16,Developed,Developed-Upland Herbaceous,LF 20: Developed
555,2,434698.0689,3678469.06,758,Longleaf pine - scrub   oak forest 5-20 years,64.008,39.624,3.556000102,2.286,12.03963658,0.71119999,3.793992391,2.713875432,3.909205353,32.11017081,40.5218718,0,0,0,6.725107383,2.346197023,0,0,0,0,0.201753208,1.345021387,3.653974992,0,0,0,2.039949103,0,0,4.035064385,0,2.01753217,0,0,3294,1043,Longleaf  pine,16,Developed,Developed-Upland Herbaceous,LF 20: Developed
20,7,440871.2376,3661888.545,24,Hardwood forest 60+ years,33.528,82.296,3.81,3.556000102,2.001467066,1.882008326,38.1709672,23.98545031,4.316919445,101.4287353,164.6951003,7.873012074,0,11.28461511,0.672510693,0.317764463,0,0,0.156919162,0,0.201753208,0.896680925,2.600374905,2.802127889,0.672510693,0.336255347,1.950281145,1.905446965,0.336255347,6.27676692,1.743147717,7.626271712,0.000367639,283,3332,1479,Non forest,16,Developed,Developed-Upland Herbaceous,LF 20: Developed
90,5,435773.8799,3666729.305,114,Bald-cypress - Water   tupelo forest 0-50 yrs,91.44,33.528,6.858000305,5.588000203,2.239402786,0.818117581,4.85377554,3.952885147,6.29164465,212.9359961,223.5515886,1.865754823,0,0,0.672510693,1.089888158,0,0,0.067251072,0,0.246587277,2.981464074,7.823541515,0,0,0,0,0,0,15.06648124,0,16.14025731,0,283,3332,1478,Baldcypress-Tupelo,16,Developed,Developed-Upland Herbaceous,LF 20: Developed
160,0,429843.9526,3669402.36,214,Bald-cypress - Water   tupelo forest,51.816,42.672,7.111999898,6.350000203,11.68402428,12.63929766,19.03882929,0.717643783,1.700128464,126.8403364,148.296947,0,0,0,0.672510693,0.312095602,0,0,0.650093715,0,0.112085116,1.636442687,0.515591532,0,0,1.120851156,5.268000656,0,0,17.12100208,5.229443152,3.228051328,0,283,3332,1480,Baldcypress-Tupelo,16,Developed,Developed-Upland Herbaceous,LF 20: Developed
191,4,430075.2743,3670205.669,263,Bald-cypress - Water   tupelo forest,36.576,57.912,3.81,3.556000102,1.300722631,0.782029688,4.824999929,20.87444499,0.416624185,272.4271864,298.543256,0,0,0,0.672510693,0.594653817,0,0,0.067251072,0,0.381089393,1.188102292,1.56919173,1.479523526,0,1.120851156,0,0,0,9.587761683,0.997109233,3.228051328,0,283,3332,1479,Baldcypress-Tupelo,16,Developed,Developed-Upland Herbaceous,LF 20: Developed
191,6,429874.1059,3669808.03,264,Bald-cypress - Water   tupelo forest,45.72,45.72,3.048000305,2.540000081,1.255656214,0.82952844,31.21189828,20.69309799,2.384469158,355.0591492,407.6537223,0,0,0,0.672510693,0.441308108,0,0,0.112085116,0,0.291421323,1.188102292,3.653974992,0,0,1.120851156,4.460987824,0,0,6.848400561,3.586723698,3.228051328,0,283,3332,1479,Baldcypress-Tupelo,16,Developed,Developed-Upland Herbaceous,LF 20: Developed
20,6,441155.7327,3661971.872,23,Hardwood forest 41-60   years,30.48,88.392,3.556000102,3.048000305,3.263982042,3.333398261,35.58274927,32.64952663,2.711504832,276.8436,345.6817722,0,0,0,0.672510693,0.391548974,0,0,0.246587277,0,0.336255347,0.448340462,2.084783307,0,0.336255347,0,17.7767,2.01753217,0,5.380085547,1.793361849,10.65257006,0.001941314,186,3335,1479,Hardwoods,16,Developed,Developed-Upland Herbaceous,LF 20: Developed
71,7,437645.4234,3665905.736,84,Hardwood forest 60+ years,24.384,30.48,8.636000813,4.825999898,2.128101835,1.706384548,36.98988374,13.14593865,3.452143548,123.5250829,174.5895596,0,0,0,0.672510693,0.6121436,0,0,0.134502143,0,0.336255347,4.169566523,6.27676692,1.703693869,0.672510693,0.336255347,0,1.905446965,0.336255347,8.518469232,26.90042998,7.626271712,0.002601717,186,3335,1478,Hardwoods,16,Developed,Developed-Upland Herbaceous,LF 20: Developed
71,1,437754.6727,3666331.836,83,Pine forest 21-40 years,24.384,30.48,5.588000203,4.572,2.324329514,1.151815944,9.785437234,8.662493674,3.989877943,126.3843652,146.6891309,0,0,0,0.672510693,0.223231429,0,2.241702311,0.112085116,0,0.269004289,3.429804761,3.13838346,0,0.112085116,0,0,0.112085116,0,8.070128545,7.173447397,10.28941361,0.004566222,633,3335,1434,Loblolly  pine,16,Developed,Developed-Upland Herbaceous,LF 20: Developed
82,0,437911.946,3667016.168,100,Pine - Mixed hardwoods   forest 21-40 years,54.864,21.336,3.81,2.794000102,5.053944883,0.19841084,14.75036983,9.196861704,12.33478763,201.8672434,229.1971589,0,0,0,0.672510693,0.652220149,0,2.241702311,0.044834048,0,0.224170231,0.291421323,3.13838346,0,0,0,0.605259624,1.120851156,0,4.931745085,7.173447397,9.078894361,0.003638801,186,3335,1434,Pine-Hardwood mix,16,Developed,Developed-Upland Herbaceous,LF 20: Developed
82,2,437908.369,3667192.398,101,Pine - Mixed hardwoods   forest 60+ years,82.296,15.24,3.81,2.286,20.4497879,0.19169064,12.34067434,26.6511213,10.21124007,179.2386126,220.4775086,47.9470646,0,0,0.672510693,3.910987058,0,0,0.044834048,0,0.358672392,2.824545137,2.600374905,0,1.56919173,2.241702311,2.107200307,0,0,4.035064385,8.966809246,10.65257006,0.00240436,186,3335,1434,Pine-Hardwood mix,16,Developed,Developed-Upland Herbaceous,LF 20: Developed
82,1,437634.315,3667285.003,102,Pine - Mixed hardwoods   forest 21-40 years,79.248,18.288,3.81,2.286,41.1187331,0.201970325,10.95826136,20.4840346,11.96101067,241.6634224,280.0932838,8.873903014,0,0,0.672510693,6.225314696,0,2.241702311,0.044834048,0,0.201753208,2.084783307,1.053600154,1.031183063,0,0,0,1.120851156,0,4.035064385,10.76017109,9.078894361,0.003691709,186,3335,1479,Pine-Hardwood mix,16,Developed,Developed-Upland Herbaceous,LF 20: Developed
84,7,445663.891,3666711.897,105,Hardwood forest 21-40   years,60.96,27.432,6.604000102,4.318000406,1.633630159,1.285543591,24.94892052,27.83100993,2.718188019,116.2548029,170.8695443,2.847593647,0,0,0.672510693,0.417988082,0,0,0.067251072,0,0.156919162,3.429804761,5.223166834,9.437566731,0,0,2.286536582,0,0,7.621787859,5.229443152,9.684153985,0.009120373,186,3335,1479,Hardwoods,16,Developed,Developed-Upland Herbaceous,LF 20: Developed
90,1,435348.045,3667164.833,113,Pine-hardwood forest   5-20 years,33.528,24.384,7.111999898,2.794000102,2.134126999,1.464065957,16.12301571,13.76967976,1.390357126,91.04488773,121.7222611,50.61013521,0,0,6.725107383,0.683373221,0,0,0.201753208,0,0.179336198,2.533123612,5.738758366,4.81965997,0,0,0,1.120851156,0,4.931745085,10.76017109,6.052596241,0,186,3335,1478,Pine-Hardwood mix,16,Developed,Developed-Upland Herbaceous,LF 20: Developed
94,0,439520.977,3666995.687,115,Pine - Mixed hardwoods   forest 60+ years,91.44,27.432,1.524000122,0.762000061,28.24072706,0.086392664,31.27524206,53.3263678,2.702559991,154.9314892,240.4232454,0,0,20.31371678,0.672510693,4.365582094,0,0,0.044834048,0,0.246587277,1.793361849,1.053600154,0,1.56919173,2.241702311,12.39661378,0,0,1.345021387,5.380085547,10.65257006,0.001457107,186,3335,1432,Pine-Hardwood mix,16,Developed,Developed-Upland Herbaceous,LF 20: Developed
109,0,434696.292,3667807.964,139,Hardwood forest 60+ years,15.24,100.584,5.334,2.286,28.24002175,28.55888736,46.5405197,31.5911024,0,243.8666122,321.9982321,0,0,0,0.672510693,0.057115327,0,0,0.874263946,0,0.291421323,1.793361849,3.653974992,0,0.672510693,0.336255347,2.241702311,1.905446965,0.336255347,4.035064385,12.55353384,7.626271712,0.001295704,633,3335,1478,Hardwood-Pine mix,16,Developed,Developed-Upland Herbaceous,LF 20: Developed
111,1,436011.8495,3668087.615,144,Pine forest 41-60 years,9.144,48.768,9.398000203,6.350000203,0.970563606,1.877634142,8.757185421,12.44557547,0.243289822,119.8128418,141.2317514,0,0,0,0.672510693,0.025458229,0,2.241702311,0.134502143,0,0.201753208,3.272885375,5.223166834,0,0.448340462,0,0,1.793361849,0,11.20851156,21.52034219,10.65257006,0.002537197,186,3335,1433,Loblolly  pine,16,Developed,Developed-Upland Herbaceous,LF 20: Developed
118,6,441919.246,3667598.996,152,Pine forest 21-40 years,48.768,70.104,6.09600061,5.080000102,9.361253515,1.305454011,7.308408636,6.444740813,1.026726335,88.88851134,103.0248049,0,0,0,0.672510693,1.219645129,0,2.241702311,0.089668099,0,0.134502143,2.241702311,5.738758366,0,0.112085116,0,0,0.112085116,0,8.966809246,5.380085547,10.28941361,0.003609694,186,3335,1478,Longleaf  pine,16,Developed,Developed-Upland Herbaceous,LF 20: Developed
