east_ae,north_ae,subplot_id,year,network,site,plot,subplot,EVG,EVG_Na,EVG_Phys,SAFSRM,soil_depth,tree_live_ttl_bio,tree_fol_bio,tree_live_1hr_bio,tree_live_10hr_bio,tree_live_100hr_bio,tree_live_1000hr_bio,tree_dead_1hr_bio,tree_dead_10hr_bio,shrub_bio_ttl,shrub_1hr,shrub_10hr,dwd_fuel_10h,dwd_fuel_100h,,dwd_fuel_1000h_s,,dwd_fuel_1000h_r,,tree_ltr_ld,tree_duff_ld,tree_ltr_depth,tree_duff_depth,herb_fuel_live_wd,herb_fuel_dead_wd,ispace_litter_load_wd,herb_fuel_stand_wd,herb_fuel_live_ss,herb_fuel_dead_ss,ispace_litter_load_ss,herb_fuel_stand_ss
-1619303.23666000000,382074.51220200000,PJ-MC-MC013,9,PJ,MC,mech,13,604,Big Sagebrush Shrubland and Steppe,Shrubland,SRM 403: Wyoming Big Sagebrush,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.805,-2.541,-1.942,0.402,1434,1.434,2868,2.868,0,0,NA,NA,NA,NA,0.267,0.056,1.163,NA,0.5,0.105,2.18,NA
-1619303.23666000000,382074.51220200000,PJ-MC-MC013,10,PJ,MC,mech,13,604,Big Sagebrush Shrubland and Steppe,Shrubland,SRM 403: Wyoming Big Sagebrush,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.146,-2.343,-1.924,2.73,4521,4.521,4624,4.624,0,0,NA,NA,NA,NA,0.312,0.085,0.685,NA,0.585,0.16,1.285,NA
-1619303.23666000000,382074.51220200000,PJ-MC-MC013,12,PJ,MC,mech,13,604,Big Sagebrush Shrubland and Steppe,Shrubland,SRM 403: Wyoming Big Sagebrush,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.376,2.412,2.341,0.887,2978,2.978,4519,4.519,0,0,NA,NA,NA,NA,0.152,0.165,0.816,NA,0.285,0.31,1.53,NA
-1619303.23666000000,382074.51220200000,PJ-MC-MC013,16,PJ,MC,mech,13,604,Big Sagebrush Shrubland and Steppe,Shrubland,SRM 403: Wyoming Big Sagebrush,NA,0.04,0.019,0.004,0.007,0.008,0.002,0,0,-7.396,-2.517,-2.159,0.263,1434,1.434,3973,3.973,0,0,NA,NA,NA,NA,0.277,0.096,0.816,NA,0.52,0.18,NA,NA
-1619303.23666000000,382074.51220200000,PJ-MC-MC013,16,PJ,MC,mech,13,604,Big Sagebrush Shrubland and Steppe,Shrubland,SRM 403: Wyoming Big Sagebrush,NA,0.04,0.019,0.004,0.007,0.008,0.002,0,0,-7.396,-2.517,-2.159,0.263,1434,1.434,3973,3.973,0,0,NA,NA,NA,NA,0.277,0.096,0.816,NA,0.52,0.18,1.53,NA
-1619303.23666000000,382074.51220200000,PJ-MC-MC013,16,PJ,MC,mech,13,604,Big Sagebrush Shrubland and Steppe,Shrubland,SRM 403: Wyoming Big Sagebrush,NA,0.04,0.019,0.004,0.007,0.008,0.002,0,0,-7.396,-2.517,-2.159,0.263,1434,1.434,3973,3.973,0,0,NA,NA,NA,NA,0.277,0.096,NA,NA,0.52,0.18,NA,NA
-1619303.23666000000,382074.51220200000,PJ-MC-MC013,16,PJ,MC,mech,13,604,Big Sagebrush Shrubland and Steppe,Shrubland,SRM 403: Wyoming Big Sagebrush,NA,0.04,0.019,0.004,0.007,0.008,0.002,0,0,-7.396,-2.517,-2.159,0.263,1434,1.434,3973,3.973,0,0,NA,NA,NA,NA,0.277,0.096,NA,NA,0.52,0.18,1.53,NA
-1619460.24562000000,382176.39441800000,PJ-MC-MC018,6,PJ,MC,mech,18,604,Big Sagebrush Shrubland and Steppe,Shrubland,SRM 314: Big Sagebrush-Bluebunch Wheatgrass,NA,3.084,0.704,0.306,0.388,0.66,1.026,0.084,0.098,0,0,0,0.36,993,0.993,0,0,0,0,0.819,NA,1.4,0,0.131,0.259,0.485,NA,0.245,0.485,0.91,NA
-1619460.24562000000,382176.39441800000,PJ-MC-MC018,7,PJ,MC,mech,18,604,Big Sagebrush Shrubland and Steppe,Shrubland,SRM 314: Big Sagebrush-Bluebunch Wheatgrass,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.733,1.217,2.248,0.416,331,0.331,898,0.898,0,0,2.828,0.251,4.4,0.2,0.259,0.109,0.187,NA,0.485,0.205,0.35,NA
-1619460.24562000000,382176.39441800000,PJ-MC-MC018,8,PJ,MC,mech,18,604,Big Sagebrush Shrubland and Steppe,Shrubland,SRM 314: Big Sagebrush-Bluebunch Wheatgrass,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.301,2.082,3.573,0.485,662,0.662,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1619460.24562000000,382176.39441800000,PJ-MC-MC018,9,PJ,MC,mech,18,604,Big Sagebrush Shrubland and Steppe,Shrubland,SRM 314: Big Sagebrush-Bluebunch Wheatgrass,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.316,1.574,2.424,0.139,1103,1.103,0,0,0,0,NA,NA,NA,NA,0.755,0.107,0.453,NA,1.415,0.2,0.85,NA
-1619460.24562000000,382176.39441800000,PJ-MC-MC018,10,PJ,MC,mech,18,604,Big Sagebrush Shrubland and Steppe,Shrubland,SRM 314: Big Sagebrush-Bluebunch Wheatgrass,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.313,2.153,4.106,0.956,1434,1.434,0,0,0,0,NA,NA,NA,NA,0.379,0.125,1.531,NA,0.71,0.235,2.87,NA
-1619460.24562000000,382176.39441800000,PJ-MC-MC018,11,PJ,MC,mech,18,604,Big Sagebrush Shrubland and Steppe,Shrubland,SRM 314: Big Sagebrush-Bluebunch Wheatgrass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,#VALUE!,NA,#VALUE!,NA,NA,NA,NA,0.08,0.029,0,NA,0.15,0.055,0,NA
-1619460.24562000000,382176.39441800000,PJ-MC-MC018,12,PJ,MC,mech,18,604,Big Sagebrush Shrubland and Steppe,Shrubland,SRM 314: Big Sagebrush-Bluebunch Wheatgrass,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.576,1.62,2.875,0.402,331,0.331,0,0,0,0,NA,NA,NA,NA,0.272,0.003,0.003,NA,0.51,0.005,0.005,NA
-1619460.24562000000,382176.39441800000,PJ-MC-MC018,13,PJ,MC,mech,18,604,Big Sagebrush Shrubland and Steppe,Shrubland,SRM 314: Big Sagebrush-Bluebunch Wheatgrass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,#VALUE!,NA,#VALUE!,NA,NA,NA,NA,0.392,0.067,0.091,NA,0.735,0.125,0.17,NA
-1619460.24562000000,382176.39441800000,PJ-MC-MC018,14,PJ,MC,mech,18,604,Big Sagebrush Shrubland and Steppe,Shrubland,SRM 314: Big Sagebrush-Bluebunch Wheatgrass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,#VALUE!,NA,#VALUE!,NA,NA,NA,NA,0.349,0.032,NA,NA,0.655,0.06,NA,NA
-1619460.24562000000,382176.39441800000,PJ-MC-MC018,16,PJ,MC,mech,18,604,Big Sagebrush Shrubland and Steppe,Shrubland,SRM 314: Big Sagebrush-Bluebunch Wheatgrass,NA,0.041,0.016,0.005,0.007,0.009,0.004,0,0,6.199,2.19,2.121,0.319,441,0.441,0,0,247,0.247,NA,NA,NA,NA,0.341,0.085,0.387,NA,0.64,0.16,0.725,NA
-1619460.24562000000,382176.39441800000,PJ-MC-MC018,17,PJ,MC,mech,18,604,Big Sagebrush Shrubland and Steppe,Shrubland,SRM 314: Big Sagebrush-Bluebunch Wheatgrass,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,#VALUE!,NA,#VALUE!,NA,NA,NA,NA,NA,NA,0.235,0.768,NA,NA,0.44,1.44
-1619404.85948000000,382160.31380100000,PJ-MC-MC019,6,PJ,MC,mech,19,623,Low Sagebrush Shrubland and Steppe,Shrubland,SRM 406: Low Sagebrush,NA,15.417,3.152,1.561,1.888,3.332,5.484,0.515,0.624,0,0,0,0.499,1434,1.434,329,0.329,0,0,7.698,2.591,3.6,0.7,0.123,0.259,0.459,NA,0.23,0.485,0.86,NA
-1619404.85948000000,382160.31380100000,PJ-MC-MC019,7,PJ,MC,mech,19,623,Low Sagebrush Shrubland and Steppe,Shrubland,SRM 406: Low Sagebrush,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.77,1.371,1.263,1.15,3860,3.86,3246,3.246,0,0,NA,NA,2.4,0.1,NA,NA,NA,NA,NA,NA,NA,NA
-1619404.85948000000,382160.31380100000,PJ-MC-MC019,8,PJ,MC,mech,19,623,Low Sagebrush Shrubland and Steppe,Shrubland,SRM 406: Low Sagebrush,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.815,1.062,1.175,1.358,3308,3.308,1332,1.332,0,0,NA,NA,NA,NA,0.283,NA,NA,NA,0.53,NA,NA,NA
-1619404.85948000000,382160.31380100000,PJ-MC-MC019,9,PJ,MC,mech,19,623,Low Sagebrush Shrubland and Steppe,Shrubland,SRM 406: Low Sagebrush,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.699,0.953,1.045,1.04,2426,2.426,1582,1.582,0,0,NA,NA,NA,NA,0.472,0.021,0.077,NA,0.885,0.04,0.145,NA
-1619404.85948000000,382160.31380100000,PJ-MC-MC019,10,PJ,MC,mech,19,623,Low Sagebrush Shrubland and Steppe,Shrubland,SRM 406: Low Sagebrush,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.476,-1.305,-1.142,3.229,2647,2.647,1743,1.743,0,0,NA,NA,NA,NA,0.552,0.123,0.637,NA,1.035,0.23,1.195,NA
-1619404.85948000000,382160.31380100000,PJ-MC-MC019,12,PJ,MC,mech,19,623,Low Sagebrush Shrubland and Steppe,Shrubland,SRM 406: Low Sagebrush,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.861,1.048,1.078,1.012,1544,1.544,1937,1.937,0,0,NA,NA,NA,NA,0.416,0.291,0.392,NA,0.78,0.545,0.735,NA
-1619404.85948000000,382160.31380100000,PJ-MC-MC019,16,PJ,MC,mech,19,623,Low Sagebrush Shrubland and Steppe,Shrubland,SRM 406: Low Sagebrush,NA,0.033,0.012,0.004,0.005,0.007,0.005,0,0,4.798,1.656,1.809,2.093,2426,2.426,1635,1.635,0,0,NA,NA,NA,NA,0.291,0.069,0.387,NA,0.545,0.13,0.725,NA
-1619345.58741000000,382140.15607400000,PJ-MC-MC020,6,PJ,MC,mech,20,604,Big Sagebrush Shrubland and Steppe,Shrubland,SRM 314: Big Sagebrush-Bluebunch Wheatgrass,NA,11.612,2.227,1.277,1.439,2.564,4.105,0.308,0.401,0,0,0,0.638,882,0.882,0,0,0,0,4.663,0.995,5.6,1,0.168,0.229,0.458,NA,0.315,0.43,0.858,NA
-1619345.58741000000,382140.15607400000,PJ-MC-MC020,7,PJ,MC,mech,20,604,Big Sagebrush Shrubland and Steppe,Shrubland,SRM 314: Big Sagebrush-Bluebunch Wheatgrass,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.117,-1.128,-1.035,0.873,1654,1.654,3852,3.852,0,0,9.049,NA,5.5,NA,NA,0.115,NA,NA,NA,0.215,NA,NA
-1619345.58741000000,382140.15607400000,PJ-MC-MC020,8,PJ,MC,mech,20,604,Big Sagebrush Shrubland and Steppe,Shrubland,SRM 314: Big Sagebrush-Bluebunch Wheatgrass,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.781,-1.704,-1.639,1.095,1764,1.764,474,0.474,0,0,NA,NA,NA,NA,NA,NA,0.029,NA,NA,NA,0.055,NA
-1619345.58741000000,382140.15607400000,PJ-MC-MC020,9,PJ,MC,mech,20,604,Big Sagebrush Shrubland and Steppe,Shrubland,SRM 314: Big Sagebrush-Bluebunch Wheatgrass,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.492,-1.805,-1.795,2.148,2426,2.426,1214,1.214,0,0,NA,NA,NA,NA,0.307,0.035,0.453,NA,0.575,0.065,0.85,NA
-1619345.58741000000,382140.15607400000,PJ-MC-MC020,10,PJ,MC,mech,20,604,Big Sagebrush Shrubland and Steppe,Shrubland,SRM 314: Big Sagebrush-Bluebunch Wheatgrass,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.643,-1.554,-1.425,3.382,4411,4.411,2898,2.898,0,0,NA,NA,NA,NA,0.421,0.077,1.835,NA,0.79,0.145,3.44,NA
-1619345.58741000000,382140.15607400000,PJ-MC-MC020,12,PJ,MC,mech,20,604,Big Sagebrush Shrubland and Steppe,Shrubland,SRM 314: Big Sagebrush-Bluebunch Wheatgrass,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.06,1.341,1.381,1.622,1654,1.654,1467,1.467,0,0,NA,NA,NA,NA,0.165,0.117,0.4,NA,0.31,0.22,0.75,NA
-1619345.58741000000,382140.15607400000,PJ-MC-MC020,16,PJ,MC,mech,20,604,Big Sagebrush Shrubland and Steppe,Shrubland,SRM 314: Big Sagebrush-Bluebunch Wheatgrass,NA,0.115,0.039,0.013,0.018,0.025,0.02,0,0,-7.578,-2.372,-2.414,0.18,1103,1.103,2138,2.138,0,0,NA,NA,NA,NA,0.381,0.152,1.422,NA,0.715,0.285,2.665,NA
-1619269.43895000000,382113.12270000000,PJ-MC-MC021,6,PJ,MC,mech,21,630,Pinyon-Juniper Woodland,Conifer,SRM 412: Juniper-Pinyon Woodland,90,13.129,2.596,1.309,1.571,2.833,4.82,0.4,0.475,0,0,0,0.333,993,0.993,1638,1.638,298,0.298,6.485,1.131,4.5,0.8,0.251,0.267,0.94,NA,0.47,0.5,1.763,NA
-1619269.43895000000,382113.12270000000,PJ-MC-MC021,7,PJ,MC,mech,21,630,Pinyon-Juniper Woodland,Conifer,SRM 412: Juniper-Pinyon Woodland,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.511,-1.359,-0.933,0.721,662,0.662,4993,4.993,0,0,7.376,0.142,3.3,0.1,0.219,0.083,0.104,NA,0.41,0.155,0.195,NA
-1619269.43895000000,382113.12270000000,PJ-MC-MC021,8,PJ,MC,mech,21,630,Pinyon-Juniper Woodland,Conifer,SRM 412: Juniper-Pinyon Woodland,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.94,-2.923,-2.477,0.79,551,0.551,4325,4.325,0,0,NA,NA,NA,NA,NA,NA,0.267,NA,NA,NA,0.5,NA
-1619269.43895000000,382113.12270000000,PJ-MC-MC021,9,PJ,MC,mech,21,630,Pinyon-Juniper Woodland,Conifer,SRM 412: Juniper-Pinyon Woodland,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.991,2.121,2.021,0.333,1434,1.434,5065,5.065,0,0,NA,NA,NA,NA,0.659,0.04,0.499,NA,1.235,0.075,0.935,NA
-1619269.43895000000,382113.12270000000,PJ-MC-MC021,10,PJ,MC,mech,21,630,Pinyon-Juniper Woodland,Conifer,SRM 412: Juniper-Pinyon Woodland,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.611,-2.757,-2.467,2.19,1985,1.985,4802,4.802,0,0,NA,NA,NA,NA,0.472,0.12,0.429,NA,0.885,0.225,0.805,NA
-1619269.43895000000,382113.12270000000,PJ-MC-MC021,12,PJ,MC,mech,21,630,Pinyon-Juniper Woodland,Conifer,SRM 412: Juniper-Pinyon Woodland,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.085,2.399,2.275,0.707,1434,1.434,4651,4.651,0,0,NA,NA,NA,NA,0.344,0.219,0.283,NA,0.645,0.41,0.53,NA
-1619269.43895000000,382113.12270000000,PJ-MC-MC021,16,PJ,MC,mech,21,630,Pinyon-Juniper Woodland,Conifer,SRM 412: Juniper-Pinyon Woodland,NA,0.032,0.012,0.004,0.005,0.007,0.004,0,0,-8.279,-2.76,-2.573,0.79,662,0.662,5180,5.18,0,0,NA,NA,NA,NA,0.264,0.077,0.117,NA,0.495,0.145,0.22,NA
-1619171.08571000000,382107.54413100000,PJ-MC-MC023,6,PJ,MC,mech,23,635,Western Riparian Woodland and Shrubland,Riparian,SAF 235: Cottonwood-Willow,NA,28.927,5.294,3.011,3.378,6.265,10.979,1.048,1.339,0,0,0,2.093,1434,1.434,266,0.266,0,0,14.982,6.655,4.4,1.3,0.069,0.171,0.741,NA,0.13,0.32,1.39,NA
-1619171.08571000000,382107.54413100000,PJ-MC-MC023,7,PJ,MC,mech,23,635,Western Riparian Woodland and Shrubland,Riparian,SAF 235: Cottonwood-Willow,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.725,-1.685,-1.258,1.317,3529,3.529,12528,12.528,0,0,21.153,1.584,4,0.3,NA,0.008,0.024,NA,NA,0.015,0.045,NA
-1619171.08571000000,382107.54413100000,PJ-MC-MC023,8,PJ,MC,mech,23,635,Western Riparian Woodland and Shrubland,Riparian,SAF 235: Cottonwood-Willow,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.544,-1.491,-1.244,1.344,2757,2.757,11660,11.66,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1619171.08571000000,382107.54413100000,PJ-MC-MC023,9,PJ,MC,mech,23,635,Western Riparian Woodland and Shrubland,Riparian,SAF 235: Cottonwood-Willow,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.054,-2.067,-1.688,1.608,3308,3.308,14317,14.317,0,0,NA,NA,NA,NA,0.251,0.003,0.307,NA,0.47,0.005,0.575,NA
-1619171.08571000000,382107.54413100000,PJ-MC-MC023,10,PJ,MC,mech,23,635,Western Riparian Woodland and Shrubland,Riparian,SAF 235: Cottonwood-Willow,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.195,-1.837,-1.696,2.883,5073,5.073,20307,20.307,0,0,NA,NA,NA,NA,0.224,0.085,4.193,NA,0.42,0.16,7.86,NA
-1619171.08571000000,382107.54413100000,PJ-MC-MC023,12,PJ,MC,mech,23,635,Western Riparian Woodland and Shrubland,Riparian,SAF 235: Cottonwood-Willow,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,1.501,1.183,0.873,2757,2.757,16034,16.034,0,0,NA,NA,NA,NA,0.155,0.109,0.712,NA,0.29,0.205,1.335,NA
-1619171.08571000000,382107.54413100000,PJ-MC-MC023,16,PJ,MC,mech,23,635,Western Riparian Woodland and Shrubland,Riparian,SAF 235: Cottonwood-Willow,NA,0.114,0.052,0.012,0.019,0.023,0.008,0,0,-8.887,-2.646,-2.588,1.635,3639,3.639,13610,13.61,0,0,NA,NA,NA,NA,0.147,0.005,0.211,NA,0.275,0.01,0.395,NA
-1619116.01326000000,382098.38184800000,PJ-MC-MC024,6,PJ,MC,mech,24,635,Western Riparian Woodland and Shrubland,Riparian,SAF 235: Cottonwood-Willow,NA,23.498,4.976,2.515,3.009,5.144,7.854,0.58,0.726,0,0,0,1.594,2316,2.316,0,0,247,0.247,7.809,2.525,4.6,0.6,0.107,0.171,0.931,NA,0.2,0.32,1.745,NA
-1619116.01326000000,382098.38184800000,PJ-MC-MC024,7,PJ,MC,mech,24,635,Western Riparian Woodland and Shrubland,Riparian,SAF 235: Cottonwood-Willow,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.68,0.936,0.931,1.733,7609,7.609,10308,10.308,0,0,NA,NA,3.8,NA,0.117,0.056,0.035,NA,0.22,0.105,0.065,NA
-1619116.01326000000,382098.38184800000,PJ-MC-MC024,8,PJ,MC,mech,24,635,Western Riparian Woodland and Shrubland,Riparian,SAF 235: Cottonwood-Willow,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.349,-2.499,-2.358,1.677,3970,3.97,1349,1.349,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1619116.01326000000,382098.38184800000,PJ-MC-MC024,9,PJ,MC,mech,24,635,Western Riparian Woodland and Shrubland,Riparian,SAF 235: Cottonwood-Willow,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.702,1.928,1.918,1.843,4963,4.963,556,0.556,0,0,NA,NA,NA,NA,0.485,0.003,0.595,NA,0.91,0.005,1.115,NA
-1619116.01326000000,382098.38184800000,PJ-MC-MC024,10,PJ,MC,mech,24,635,Western Riparian Woodland and Shrubland,Riparian,SAF 235: Cottonwood-Willow,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.633,-1.87,-1.737,3.687,8271,8.271,1217,1.217,0,0,NA,NA,NA,NA,0.523,0.024,0.587,NA,0.98,0.045,1.1,NA
-1619116.01326000000,382098.38184800000,PJ-MC-MC024,12,PJ,MC,mech,24,635,Western Riparian Woodland and Shrubland,Riparian,SAF 235: Cottonwood-Willow,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.853,17.984,6.918,2.01,5845,5.845,1161,1.161,0,0,NA,NA,NA,NA,0.235,0.24,0.883,NA,0.44,0.45,1.655,NA
-1619116.01326000000,382098.38184800000,PJ-MC-MC024,16,PJ,MC,mech,24,635,Western Riparian Woodland and Shrubland,Riparian,SAF 235: Cottonwood-Willow,NA,0.139,0.064,0.015,0.023,0.028,0.009,0,0,-5.862,-2.025,-2.001,1.566,2978,2.978,3161,3.161,0,0,NA,NA,NA,NA,0.179,0.011,1.088,NA,0.335,0.02,2.04,NA
-1619679.36661000000,382278.67758300000,PJ-MC-MC025,6,PJ,MC,mech,25,630,Pinyon-Juniper Woodland,Conifer,SRM 412: Juniper-Pinyon Woodland,NA,22.65,5.184,2.036,2.788,4.794,7.848,0.623,0.635,0,0,0,1.816,1654,1.654,0,0,405,0.405,9.402,3.04,4.3,1,0.04,0.032,0.411,NA,0.075,0.06,0.77,NA
-1619679.36661000000,382278.67758300000,PJ-MC-MC025,7,PJ,MC,mech,25,630,Pinyon-Juniper Woodland,Conifer,SRM 412: Juniper-Pinyon Woodland,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.274,0.879,5.981,1.303,2867,2.867,6654,6.654,0,0,17.562,1.073,4.5,0.2,0.067,0.021,0.011,NA,0.125,0.04,0.021,NA
-1619679.36661000000,382278.67758300000,PJ-MC-MC025,8,PJ,MC,mech,25,630,Pinyon-Juniper Woodland,Conifer,SRM 412: Juniper-Pinyon Woodland,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.882,1.303,6.582,1.58,3970,3.97,2789,2.789,0,0,NA,NA,NA,NA,0.064,NA,0.011,NA,0.12,NA,0.02,NA
-1619679.36661000000,382278.67758300000,PJ-MC-MC025,9,PJ,MC,mech,25,630,Pinyon-Juniper Woodland,Conifer,SRM 412: Juniper-Pinyon Woodland,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.914,2.102,7.777,2.73,5073,5.073,4460,4.46,0,0,NA,NA,NA,NA,0.184,0,0.112,NA,0.345,0,0.21,NA
-1619679.36661000000,382278.67758300000,PJ-MC-MC025,10,PJ,MC,mech,25,630,Pinyon-Juniper Woodland,Conifer,SRM 412: Juniper-Pinyon Woodland,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.101,2.422,10.197,2.439,3860,3.86,4335,4.335,0,0,NA,NA,NA,NA,0.331,0.04,0.448,NA,0.62,0.075,0.84,NA
-1619679.36661000000,382278.67758300000,PJ-MC-MC025,16,PJ,MC,mech,25,630,Pinyon-Juniper Woodland,Conifer,SRM 412: Juniper-Pinyon Woodland,NA,0.083,0.025,0.01,0.013,0.018,0.017,0,0,8.493,2.998,3.311,0.845,3308,3.308,5901,5.901,0,0,NA,NA,NA,NA,0.101,0.069,0.149,NA,0.19,0.13,0.28,NA
-1619504.74227000000,382242.67885300000,PJ-MC-MC028,6,PJ,MC,mech,28,700,Sparse Vegetation,Sparsely Vegetated,LF 33: Sparsely Vegetated,NA,12.301,2.835,1.091,1.516,2.596,4.263,0.352,0.357,0,0,0,1.067,2095,2.095,0,0,774,0.774,6.406,1.363,5.1,1.2,0.139,0.131,0.416,NA,0.26,0.245,0.78,NA
-1619504.74227000000,382242.67885300000,PJ-MC-MC028,7,PJ,MC,mech,28,700,Sparse Vegetation,Sparsely Vegetated,LF 33: Sparsely Vegetated,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.487,-1.349,-7.56,0.887,4080,4.08,1335,1.335,0,0,14.909,1.304,6,0.6,0.237,0.104,0.245,NA,0.445,0.195,0.46,NA
-1619504.74227000000,382242.67885300000,PJ-MC-MC028,8,PJ,MC,mech,28,700,Sparse Vegetation,Sparsely Vegetated,LF 33: Sparsely Vegetated,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.729,1.699,4.596,1.053,2867,2.867,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1619504.74227000000,382242.67885300000,PJ-MC-MC028,9,PJ,MC,mech,28,700,Sparse Vegetation,Sparsely Vegetated,LF 33: Sparsely Vegetated,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.11,2.347,6.106,1.317,1985,1.985,951,0.951,0,0,NA,NA,NA,NA,0.84,0.003,0.32,NA,1.575,0.005,0.6,NA
-1619504.74227000000,382242.67885300000,PJ-MC-MC028,10,PJ,MC,mech,28,700,Sparse Vegetation,Sparsely Vegetated,LF 33: Sparsely Vegetated,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.4,-2.333,-4.322,2.98,3308,3.308,1283,1.283,0,0,NA,NA,NA,NA,0.331,0.12,0.981,NA,0.62,0.225,1.84,NA
-1619504.74227000000,382242.67885300000,PJ-MC-MC028,11,PJ,MC,mech,28,700,Sparse Vegetation,Sparsely Vegetated,LF 33: Sparsely Vegetated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,#VALUE!,NA,#VALUE!,NA,NA,NA,NA,0.075,0.027,0,NA,0.14,0.05,0,NA
-1619504.74227000000,382242.67885300000,PJ-MC-MC028,12,PJ,MC,mech,28,700,Sparse Vegetation,Sparsely Vegetated,LF 33: Sparsely Vegetated,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.025,-1.648,-6.834,1.289,2647,2.647,332,0.332,0,0,NA,NA,NA,NA,0.368,0.005,0.003,NA,0.69,0.01,0.005,NA
-1619504.74227000000,382242.67885300000,PJ-MC-MC028,13,PJ,MC,mech,28,700,Sparse Vegetation,Sparsely Vegetated,LF 33: Sparsely Vegetated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,#VALUE!,NA,#VALUE!,NA,NA,NA,NA,0.264,0.067,0.109,NA,0.495,0.125,0.205,NA
-1619504.74227000000,382242.67885300000,PJ-MC-MC028,14,PJ,MC,mech,28,700,Sparse Vegetation,Sparsely Vegetated,LF 33: Sparsely Vegetated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,#VALUE!,NA,#VALUE!,NA,NA,NA,NA,0.115,0.027,NA,NA,0.215,0.05,NA,NA
-1619504.74227000000,382242.67885300000,PJ-MC-MC028,16,PJ,MC,mech,28,700,Sparse Vegetation,Sparsely Vegetated,LF 33: Sparsely Vegetated,NA,0.221,0.105,0.02,0.037,0.043,0.016,0.001,0.001,7.996,2.802,2.733,1.095,1544,1.544,322,0.322,298,0.298,NA,NA,0.5,2.5,0.539,0.133,0.392,NA,1.01,0.25,0.735,NA
-1619504.74227000000,382242.67885300000,PJ-MC-MC028,17,PJ,MC,mech,28,700,Sparse Vegetation,Sparsely Vegetated,LF 33: Sparsely Vegetated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#VALUE!,NA,#VALUE!,NA,#VALUE!,NA,NA,NA,NA,NA,NA,0.773,0.624,NA,NA,1.45,1.17
