"fuelType","distr","n.obs","prop0","param1.est","param1.sd","param1.cv","param2.est","param2.sd","param2.cv","KS.pVal","equivalence.val","distr.fit.class"
"us_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ms_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"os_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_crown_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_loading_summed_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_loading_entered_Mgha","gammaLL",189,0,3.344,0.336,0.1,0.023,0.002,0.109,0,0.02,"Good"
"tree_loading_Mgha","gammaLL",189,0,3.344,0.337,0.101,0.023,0.002,0.108,0,0.02,"Good"
"snag_loading_Mgha","gammaLL",151,0.19,0.764,0.078,0.102,0.142,0.02,0.142,0.147,0.015,"Excellent"
"shrub_loading_Mgha","gammaLL",212,0.028,1.867,0.174,0.093,0.55,0.059,0.108,0.449,0.013,"Excellent"
"herb_loading_Mgha","gammaLL",171,0.079,0.85,0.082,0.096,4.664,0.601,0.129,0.202,0.018,"Excellent"
"herb_percentlive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1hr_loading_Mgha","lnormLL",239,0.004,-1.984,0.059,-0.03,0.903,0.041,0.045,0.008,0.018,"Good"
"X10hr_loading_Mgha","gammaLL",248,0.019,2.233,0.194,0.087,1.363,0.132,0.097,0.191,0.012,"Excellent"
"X100hr_loading_Mgha","lnormLL",248,0.063,1.363,0.049,0.036,0.777,0.035,0.045,0.216,0.004,"Excellent"
"fwd_loading_summed_Mgha","gammaLL",255,0.004,1.871,0.158,0.084,0.272,0.026,0.097,0.01,0.015,"Good"
"fwd_loading_entered_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fwd_loading_Mgha","gammaLL",261,0.004,1.887,0.157,0.083,0.274,0.026,0.095,0.019,0.014,"Good"
"X1000hrS_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1000hrR_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1000hr_loading_summed_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1000hr_loading_entered_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1000hr_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X10KhrS_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X10KhrR_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X10Khr_loading_summed_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X10Khr_loading_entered_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X10Khr_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GT10KhrS_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GT10KhrR_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GT10Khr_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cwd_sound_loading_Mgha","lnormLL",53,0,2.409,0.092,0.038,0.676,0.066,0.097,0.015,0.033,"Good"
"cwd_rotten_loading_Mgha","lnormLL",53,0,1.354,0.072,0.053,0.532,0.051,0.097,0.414,0.007,"Good"
"cwd_loading_summedByPieceSizeClass_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cwd_loading_summedBySR_Mgha","lnormLL",53,0,2.783,0.07,0.025,0.501,0.049,0.099,0.007,0.045,"Good"
"cwd_loading_entered_Mgha","gammaLL",173,0.079,1.134,0.111,0.098,0.13,0.016,0.124,0.126,0.021,"Excellent"
"cwd_loading_Mgha","gammaLL",228,0.061,1.203,0.101,0.084,0.11,0.012,0.105,0.575,0.01,"Excellent"
"lichen_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"moss_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"litter_depth_cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"litter_loading_Mgha","gammaLL",250,0.004,2.845,0.245,0.086,0.24,0.023,0.094,0.007,0.007,"Good"
"duff_depth_cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"duff_loading_Mgha","gammaLL",187,0.046,1.406,0.134,0.096,0.06,0.007,0.114,0.695,0.004,"Excellent"
