"fuelType","distr","n.obs","prop0","param1.est","param1.sd","param1.cv","param2.est","param2.sd","param2.cv","KS.pVal","equivalence.val","distr.fit.class"
"us_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ms_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"os_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_crown_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_loading_summed_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_loading_entered_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"snag_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"shrub_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"herb_loading_Mgha","lnormLL",40,0.109,-4.26,0.235,-0.055,1.463,0.162,0.111,0.538,0.02,"Good"
"herb_percentlive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1hr_loading_Mgha","gammaLL",59,0.016,1.088,0.194,0.179,1.468,0.336,0.229,0.677,0.022,"Good"
"X10hr_loading_Mgha","gammaLL",101,0.029,0.913,0.116,0.127,0.2,0.034,0.169,0.047,0.009,"Good"
"X100hr_loading_Mgha","gammaLL",83,0.192,2.472,0.374,0.151,0.339,0.057,0.168,0.298,0.007,"Good"
"fwd_loading_summed_Mgha","gammaLL",60,0.016,0.849,0.144,0.17,0.097,0.022,0.232,0.059,0.015,"Good"
"fwd_loading_entered_Mgha","gammaLL",32,0.029,0.867,0.224,0.259,0.191,0.067,0.352,0.691,0.031,"Good"
"fwd_loading_Mgha","gammaLL",60,0.016,0.849,0.146,0.171,0.097,0.022,0.229,0.059,0.015,"Good"
"X1000hrS_loading_Mgha","lnormLL",40,0.07,1.746,0.15,0.086,0.955,0.107,0.112,0.262,0.025,"Good"
"X1000hrR_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1000hr_loading_summed_Mgha","lnormLL",41,0.047,1.979,0.127,0.064,0.807,0.088,0.109,0.288,0.022,"Good"
"X1000hr_loading_entered_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1000hr_loading_Mgha","lnormLL",58,0.033,2.065,0.118,0.057,0.895,0.085,0.095,0.478,0.007,"Good"
"X10KhrS_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X10KhrR_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X10Khr_loading_summed_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X10Khr_loading_entered_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X10Khr_loading_Mgha","lnormLL",44,0.228,2.506,0.14,0.056,0.936,0.1,0.107,0.492,0.011,"Good"
"GT10KhrS_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GT10KhrR_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GT10Khr_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cwd_sound_loading_Mgha","lnormLL",99,0.342,2.452,0.126,0.051,1.263,0.088,0.07,0.474,0.008,"Good"
"cwd_rotten_loading_Mgha","gammaLL",75,0.453,0.727,0.109,0.15,0.013,0.003,0.213,0.052,0.026,"Good"
"cwd_loading_summedByPieceSizeClass_Mgha","gammaLL",40,0.048,1.292,0.297,0.23,0.036,0.01,0.283,0.325,0.01,"Good"
"cwd_loading_summedBySR_Mgha","lnormLL",121,0.109,3.315,0.111,0.034,1.226,0.078,0.064,0.011,0.013,"Good"
"cwd_loading_entered_Mgha","gammaLL",129,0.109,0.957,0.111,0.116,0.02,0.003,0.15,0.063,0.019,"Excellent"
"cwd_loading_Mgha","gammaLL",129,0.109,0.957,0.109,0.114,0.02,0.003,0.148,0.061,0.019,"Excellent"
"lichen_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"moss_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"litter_depth_cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"litter_loading_Mgha","lnormLL",35,0,2.722,0.144,0.053,0.837,0.098,0.117,0.923,0.014,"Good"
"duff_depth_cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"duff_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
