"fuelType","distr","n.obs","prop0","param1.est","param1.sd","param1.cv","param2.est","param2.sd","param2.cv","KS.pVal","equivalence.val","distr.fit.class"
"us_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ms_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"os_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_crown_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_loading_summed_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_loading_entered_Mgha","gammaLL",38,0,1.386,0.334,0.241,0.009,0.003,0.287,0.825,0.012,"Good"
"tree_loading_Mgha","gammaLL",38,0,1.386,0.335,0.242,0.009,0.003,0.286,0.826,0.012,"Good"
"snag_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"shrub_loading_Mgha","lnormLL",42,0,1.218,0.106,0.087,0.686,0.074,0.108,0.556,0.023,"Good"
"herb_loading_Mgha","gammaLL",42,0,2.267,0.534,0.236,2.542,0.67,0.264,0.001,0.053,"Poor"
"herb_percentlive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1hr_loading_Mgha","gammaLL",38,0.07,1.423,0.34,0.239,5.646,1.652,0.293,0.672,0.026,"Good"
"X10hr_loading_Mgha","gammaLL",81,0.047,1.031,0.155,0.15,0.342,0.065,0.189,0.8,0.019,"Good"
"X100hr_loading_Mgha","lnormLL",72,0.141,1.217,0.107,0.088,0.904,0.074,0.082,0.374,0.017,"Good"
"fwd_loading_summed_Mgha","gammaLL",40,0.047,1.157,0.269,0.233,0.196,0.056,0.285,0.692,0.02,"Good"
"fwd_loading_entered_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"fwd_loading_Mgha","gammaLL",40,0.047,1.157,0.269,0.233,0.196,0.056,0.288,0.688,0.02,"Good"
"X1000hrS_loading_Mgha","lnormLL",39,0.093,1.554,0.135,0.087,0.849,0.095,0.112,0.792,0.019,"Good"
"X1000hrR_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1000hr_loading_summed_Mgha","gammaLL",40,0.047,1.644,0.378,0.23,0.251,0.069,0.275,0.68,0.023,"Good"
"X1000hr_loading_entered_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1000hr_loading_Mgha","gammaLL",41,0.045,1.517,0.355,0.234,0.215,0.06,0.28,0.451,0.028,"Good"
"X10KhrS_loading_Mgha","lnormLL",31,0.262,2.882,0.159,0.055,0.875,0.111,0.126,0.559,0.025,"Good"
"X10KhrR_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X10Khr_loading_summed_Mgha","lnormLL",34,0.19,3.078,0.125,0.041,0.732,0.089,0.121,0.792,0.027,"Good"
"X10Khr_loading_entered_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X10Khr_loading_Mgha","lnormLL",35,0.186,3.045,0.125,0.041,0.746,0.089,0.12,0.769,0.027,"Good"
"GT10KhrS_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GT10KhrR_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GT10Khr_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"cwd_sound_loading_Mgha","lnormLL",58,0.348,3.447,0.175,0.051,1.345,0.122,0.091,0.433,0.007,"Good"
"cwd_rotten_loading_Mgha","gammaLL",59,0.33,0.897,0.158,0.176,0.005,0.001,0.232,0.207,0.024,"Good"
"cwd_loading_summedByPieceSizeClass_Mgha","lnormLL",40,0.048,3.927,0.139,0.035,0.875,0.098,0.112,0.101,0.031,"Good"
"cwd_loading_summedBySR_Mgha","lnormLL",86,0.023,4.555,0.114,0.025,1.06,0.081,0.077,0.047,0.008,"Good"
"cwd_loading_entered_Mgha","gammaLL",114,0.116,0.809,0.098,0.121,0.006,0.001,0.168,0.165,0.021,"Excellent"
"cwd_loading_Mgha","gammaLL",114,0.116,0.809,0.097,0.12,0.006,0.001,0.166,0.155,0.021,"Excellent"
"lichen_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"moss_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"litter_depth_cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"litter_loading_Mgha","gammaLL",38,0,3.285,0.849,0.258,0.285,0.079,0.279,0.373,0.019,"Good"
"duff_depth_cm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"duff_loading_Mgha","gammaLL",38,0.026,3.343,0.854,0.255,0.064,0.018,0.276,0.208,0.013,"Good"
