"fuelType","distr","n.obs","prop0","param1.est","param1.sd","param1.cv","param2.est","param2.sd","param2.cv","KS.pVal","equivalence.val","distr.fit.class"
"us_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ms_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"os_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_crown_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_loading_summed_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_loading_entered_Mgha","gammaLL",172,0.006,1.373,0.14,0.102,0.007,0.001,0.121,0.895,0.005,"Excellent"
"tree_loading_Mgha","gammaLL",172,0.006,1.373,0.136,0.099,0.007,0.001,0.121,0.902,0.005,"Excellent"
"snag_loading_Mgha","lnormLL",123,0.254,2.383,0.13,0.055,1.425,0.092,0.065,0.042,0.013,"Good"
"shrub_loading_Mgha","gammaLL",167,0.046,2.234,0.237,0.106,0.845,0.102,0.12,0.693,0.006,"Excellent"
"herb_loading_Mgha","gammaLL",177,0.053,0.985,0.094,0.095,4.282,0.519,0.121,0.053,0.007,"Excellent"
"X1hr_loading_Mgha","gammaLL",296,0.013,0.912,0.066,0.072,1.484,0.143,0.097,0.001,0.015,NA
"X10hr_loading_Mgha","gammaLL",409,0.012,1.531,0.101,0.066,0.505,0.039,0.077,0.689,0.006,"Excellent"
"X100hr_loading_Mgha","gammaLL",379,0.082,1.618,0.11,0.068,0.255,0.02,0.079,0.169,0.006,"Excellent"
"fwd_loading_summed_Mgha","gammaLL",298,0,1.501,0.113,0.075,0.162,0.014,0.089,0.018,0.011,NA
"fwd_loading_entered_Mgha","gammaLL",46,0,3.825,0.865,0.226,0.331,0.08,0.243,0.028,0.025,"Good"
"fwd_loading_Mgha","gammaLL",312,0,1.521,0.112,0.073,0.165,0.014,0.087,0.017,0.012,NA
"X1000hrS_loading_Mgha","lnormLL",143,0.157,1.555,0.098,0.063,1.19,0.071,0.06,0.327,0.004,"Excellent"
"X1000hrR_loading_Mgha","gammaLL",61,0.615,1.031,0.177,0.171,0.274,0.061,0.223,0.36,0.03,"Good"
"X1000hr_loading_summed_Mgha","lnormLL",146,0.087,1.562,0.087,0.055,1.06,0.062,0.058,0.733,0.004,"Excellent"
"X1000hr_loading_entered_Mgha","gammaLL",55,0,1.112,0.201,0.181,0.044,0.01,0.232,0.12,0.019,"Good"
"X1000hr_loading_Mgha","lnormLL",198,0.065,1.837,0.084,0.046,1.183,0.059,0.05,0.117,0.009,"Excellent"
"X10KhrS_loading_Mgha","lnormLL",72,0.493,2.779,0.092,0.033,0.773,0.063,0.082,0.286,0.016,"Good"
"X10KhrR_loading_Mgha","lnormLL",31,0.775,2.424,0.12,0.049,0.675,0.085,0.126,0.503,0.026,"Good"
"X10Khr_loading_summed_Mgha","lnormLL",94,0.338,2.798,0.078,0.028,0.77,0.056,0.073,0.649,0.011,"Good"
"X10Khr_loading_entered_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X10Khr_loading_Mgha","lnormLL",119,0.298,2.714,0.074,0.027,0.831,0.053,0.064,0.168,0.004,"Good"
"GT10KhrS_loading_Mgha","lnormLL",37,0.739,3.95,0.11,0.028,0.675,0.077,0.114,0.347,0.038,"Good"
"GT10KhrR_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GT10Khr_loading_Mgha","lnormLL",54,0.613,3.726,0.095,0.025,0.698,0.067,0.095,0.318,0.027,"Good"
"cwd_sound_loading_Mgha","gammaLL",181,0.124,0.758,0.071,0.094,0.027,0.004,0.13,0.136,0.019,"Excellent"
"cwd_rotten_loading_Mgha","gammaLL",97,0.459,0.8,0.104,0.13,0.036,0.007,0.181,0.031,0.008,"Good"
"cwd_loading_summedByPieceSizeClass_Mgha","gammaLL",136,0.035,0.826,0.091,0.11,0.019,0.003,0.145,0.496,0.006,"Excellent"
"cwd_loading_summedBySR_Mgha","gammaLL",174,0.028,0.92,0.09,0.097,0.022,0.003,0.126,0.102,0.004,"Excellent"
"cwd_loading_entered_Mgha","gammaLL",286,0.082,0.77,0.057,0.074,0.027,0.003,0.101,0.148,0.01,"Excellent"
"cwd_loading_Mgha","gammaLL",322,0.073,0.815,0.057,0.07,0.028,0.003,0.094,0.195,0.006,"Excellent"
"lichen_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"moss_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"litter_depth_cm","gammaLL",34,0,1.136,0.285,0.251,0.475,0.152,0.32,0.535,0.032,"Good"
"litter_loading_Mgha","lnormLL",259,0.004,2.34,0.047,0.02,0.76,0.033,0.044,0.004,0.011,NA
"duff_depth_cm","gammaLL",56,0.018,2.282,0.443,0.194,0.625,0.135,0.215,0.069,0.018,"Good"
"duff_loading_Mgha","gammaLL",230,0.102,0.86,0.072,0.083,0.035,0.004,0.112,0.004,0.015,NA
