Fuelbed_nu,PLOT_ID,SUBPLOT_ID,x,y,lon,lat,Fuelbed_Type,SAFSRM,EVT_GP,EVT_GP_N,us_loading_Mgha,ms_loading_Mgha,os_loading_Mgha,tree_crown_loading_Mgha,tree_loading_Mgha,snag_loading_Mgha,shrub_loading_Mgha,herb_loading_Mgha,1hr_loading_Mgha,10hr_loading_Mgha,100hr_loading_Mgha,1KhrS_loading_Mgha,1KhrR_loading_Mgha,1Khr_loading_Mgha,10KhrS_loading_Mgha,10KhrR_loading_Mgha,10Khr_loading_Mgha,GT10KhrS_loading_Mgha,GT10KhrR_loading_Mgha,litter_depth_,litter_loading_Mgha
385,280,0,451594.804,3671825.954,-81.51924776,33.184184,Pine forest 5-20 years,LF 20: Developed,16,Developed-Upland Herbaceous,0,4.571670754,4.729391548,9.301062302,77.42337641,0,3.315167915,0.246587277,0.224170231,2.533123611,7.307949982,0,0,0,0.089668099,1.008766085,1.098434184,0,0.784595854,4.064000203,7.173447395
386,280,4,451801.223,3671818.936,-81.51703319,33.18412991,Pine - Mixed hardwoods   forest 21-40 years,LF 46: Atlantic Coastal Plain Swamp,694,Atlantic Swamp Forests,0.021873278,12.12803251,2.920753619,15.07065941,90.32740623,18.71650164,2.227116809,0,0.358672392,3.272885374,9.392732683,0.986349084,0,0.986349084,0,1.120851156,1.120851156,0,0,3.81,6.725107381
387,280,2,451594.88,3672219.866,-81.5192679,33.18773698,Hardwood forest 60+ years,LF 46: Atlantic Coastal Plain Swamp,694,Atlantic Swamp Forests,1.047638615,15.10311513,35.51080407,51.66155781,208.0402639,0,0.565374315,0.089668099,0.179336198,1.053600153,1.053600153,17.79911747,1.255353294,19.05447076,0.672510693,1.905446964,2.577957658,0.336255347,0.336255347,2.540000081,4.483404622
388,281,0,453216.204,3671825.332,-81.50185538,33.18424972,Pine forest 5-20 years,SAF 71: Longleaf Pine-Scrub Oak,677,Longleaf Pine Woodland,0,4.544360767,9.852577562,14.39693833,114.5141793,0,2.174121039,0.156919162,0.291421323,5.357668523,7.307949982,0,0.515591532,0.515591532,0.089668099,1.008766085,1.098434184,0,0.784595854,4.572,8.070128544
389,281,7,453071.994,3671684.957,-81.50339505,33.18297732,Pine-hardwood forest   5-20 years,SAF 71: Longleaf Pine-Scrub Oak,677,Longleaf Pine Woodland,0.868437493,13.15551296,8.798609388,22.82255984,211.8466834,17.05726196,1.842409713,0.089668099,0.381089393,3.13838346,7.307949982,0,0,0,0,1.120851156,1.120851156,0,0,3.30200002,5.828426233
390,281,3,453489.194,3672110.093,-81.49894164,33.18682996,Pine forest 5-20 years,LF 61: Managed Tree Plantation,731,Managed Tree Plantation,0.41094685,3.902651736,8.411870905,12.72546949,79.64993826,0,0.994845965,0.134502143,0.067251072,0.896680924,1.053600153,0,0,0,0.089668099,1.008766085,1.098434184,0,0.784595854,2.286,4.035064384
391,282,0,453996.802,3671809.648,-81.49348129,33.18414172,Hardwood forest 21-40   years,SAF 72: Southern Scrub Oak,658,Coastal Plain Oak Forest,4.57674978,18.85569117,26.96933542,50.40177637,236.4143643,0,0.700672975,0.112085116,0.672510693,6.254349896,6.792358451,0,0,0,0,0,0,0,0,1.77800002,3.13838346
392,282,4,454209.977,3671819.535,-81.49119511,33.18423995,Pine - Mixed hardwoods   forest 21-40 years,SAF 72: Southern Scrub Oak,658,Coastal Plain Oak Forest,0.656930571,21.8039803,5.070209208,27.53112007,137.9663175,0,1.23970666,0.134502143,0.381089393,7.464869144,6.276766919,0,0,0,0,1.120851156,1.120851156,0,0,4.572,8.070128544
393,282,8,453606.851,3671847.438,-81.49766613,33.18446593,Pine forest 21-40 years,SAF 71: Longleaf Pine-Scrub Oak,677,Longleaf Pine Woodland,0,6.171545896,8.21731939,14.38886529,121.0649267,11.21186581,4.788100163,0,0.313838324,2.533123611,5.738758365,0,0,0,0.112085116,0.112085116,0.224170231,0,0,3.048000305,5.380085546
394,284,0,430674.0811,3671829.104,-81.74365291,33.18307415,Bald-cypress - Water   tupelo forest 0-50 yrs,SAF 72: Southern Scrub Oak,668,Eastern Small Stream Riparian Forests,0.21267857,21.78022946,23.88825234,45.88116037,246.2504384,5.667890981,0.153561092,0.067251072,0.246587277,0.739761763,4.707575077,56.31156205,0,56.31156205,0,0,0,0,0,3.556000102,9.587761681
395,284,3,430816.3286,3671971.352,-81.74213796,33.18436623,Pine - Mixed hardwoods   forest 21-40 years,SAF 72: Southern Scrub Oak,658,Coastal Plain Oak Forest,17.23888804,12.54743887,43.63615448,73.4224814,196.3294205,0,1.039242319,0,0.291421323,0.448340462,1.053600153,0,0,0,0,1.120851156,1.120851156,0,0,2.286,4.035064384
396,284,4,431076.4179,3671829.104,-81.73933739,33.18309985,Pine forest 41-60 years,SAF 72: Southern Scrub Oak,658,Coastal Plain Oak Forest,2.612784745,34.19882986,19.60953307,56.42114767,404.7709378,0,1.611140369,0.112085116,0.201753208,0.605259624,5.738758365,8.070128544,0,8.070128544,0.448340462,1.793361849,2.241702311,0,0,4.318000406,7.621787857
397,286,0,449980.537,3671804.335,-81.53656234,33.18391557,Pine forest 41-60 years,SAF 71: Longleaf Pine-Scrub Oak,677,Longleaf Pine Woodland,0.063803569,5.701911055,8.537981455,14.30369608,119.9351984,0,0.639694413,0.156919162,0.269004289,2.084783306,5.738758365,0,2.219285445,2.219285445,0.448340462,1.793361849,2.241702311,0,0,3.556000102,6.276766919
398,286,2,449992.0356,3672026.468,-81.53645121,33.18591968,Pine forest 41-60 years,LF 61: Managed Tree Plantation,731,Managed Tree Plantation,0.090485052,3.608478298,6.838774915,10.53773826,88.71266771,0,2.089462927,0.134502143,0.179336198,1.345021387,3.653974991,0,0,0,0.448340462,1.793361849,2.241702311,0,0,5.334,9.415150379
399,286,3,450258.7367,3672111.448,-81.53359498,33.18669847,Pine forest 5-20 years,LF 20: Developed,16,Developed-Upland Herbaceous,0,2.667569035,2.368707749,5.036276784,44.57553311,0,0.659983568,0.156919162,0.291421323,2.690042773,7.307949982,2.062366126,1.65885971,3.721225836,0.089668099,1.008766085,1.098434184,0,0.784595854,4.064000203,7.173447395
400,287,0,452414.337,3671824.357,-81.51045676,33.18420595,Pine - Mixed hardwoods   forest 21-40 years,SAF 71: Longleaf Pine-Scrub Oak,677,Longleaf Pine Woodland,0.667701278,26.9392854,37.52010237,65.12708905,159.8515101,0,0.97159068,0.022417025,0.493174531,3.72122606,6.276766919,1.255353294,0.538008577,1.793361871,0,1.120851156,1.120851156,0,0,4.572,8.070128544
401,287,2,452394.765,3672034.84,-81.51067772,33.18610359,Pine - Mixed hardwoods   forest 21-40 years,LF 46: Atlantic Coastal Plain Swamp,694,Atlantic Swamp Forests,0.239922472,26.35049332,10.43672595,37.02714175,192.3909625,15.29263089,0.695709577,0,0.201753208,1.501940548,0.515591532,1.972698146,0,1.972698146,0,1.120851156,1.120851156,0,0,3.30200002,5.828426233
402,287,7,452122.261,3671559.454,-81.51357584,33.1818037,Hardwood forest 60+ years,SAF 72: Southern Scrub Oak,680,Sweetgum-Water Oak Forest,2.019680976,29.06048276,20.59851384,51.67867758,261.2574025,0,0.477024366,0.627676647,0.381089393,2.981464074,4.169566523,1.031183063,5.469753639,6.500936702,0.672510693,1.905446964,2.577957658,0.336255347,0.336255347,5.334,9.415150379
403,290,0,431471.1581,3672642.1,-81.7351646,33.19045764,Pine - Mixed hardwoods   forest 41-60 years,LF 61: Managed Tree Plantation,731,Managed Tree Plantation,4.627808585,30.41479152,23.20363421,58.24623431,258.6374129,12.20749122,1.268412555,0.089668099,0.291421323,3.586723698,3.13838346,32.95302621,10.31183153,43.26485774,0.672510693,1.120851156,1.793361849,0,0,3.81,6.725107381
404,290,1,431329.6111,3672765.181,-81.73669227,33.19155877,Hardwood forest 21-40   years,LF 46: Atlantic Coastal Plain Swamp,694,Atlantic Swamp Forests,1.229282072,28.59334338,41.41646793,71.23909338,375.9234571,0,0.952184711,0.179336198,0.269004289,3.586723698,5.738758365,10.17732939,0,10.17732939,0,0,0,0,0,3.556000102,6.276766919
405,290,6,431477.625,3672226.237,-81.7350639,33.18670722,Pine forest 21-40 years,SAF 72: Southern Scrub Oak,658,Coastal Plain Oak Forest,3.235005537,10.25014055,9.929866974,23.41501306,173.5033203,0,0.917341686,0.044834048,0.336255347,3.586723698,3.653974991,0,0,0,0.112085116,0.112085116,0.224170231,0,0,3.556000102,6.276766919
406,294,0,434704.781,3672636.103,-81.70047677,33.19060358,Pine forest 5-20 years,LF 61: Managed Tree Plantation,731,Managed Tree Plantation,3.965238048,1.288445528,3.918554148,9.172237723,41.69768724,0,1.803438077,0.134502143,0.022417025,0.605259624,0.515591532,0,4.169566523,4.169566523,0.089668099,1.008766085,1.098434184,0,0.784595854,2.540000081,4.483404622
407,294,2,434684.0261,3672846.473,-81.70071452,33.19249974,Pine forest 41-60 years,LF 61: Managed Tree Plantation,731,Managed Tree Plantation,9.752362262,5.428716588,3.64105763,18.82213648,103.4676532,0,0.404379178,0.044834048,0.269004289,3.13838346,4.707575077,0,13.62955095,13.62955095,0.448340462,1.793361849,2.241702311,0,0,2.286,4.035064384
408,294,6,434704.189,3672233.964,-81.70045426,33.18697648,Hardwood forest 41-60   years,LF 46: Atlantic Coastal Plain Swamp,694,Atlantic Swamp Forests,2.340979909,33.73488939,35.93859933,72.01446862,253.9418984,0,0.342654801,0.156919162,0.291421323,3.586723698,5.738758365,0.986349084,7.823541514,8.809890598,0.336255347,2.01753217,2.353787516,0,0,2.540000081,4.483404622
409,295,0,435501.3639,3672633.798,-81.69193154,33.19063058,Clearcut <5,LF 20: Developed,16,Developed-Upland Herbaceous,0,0,0,0,0,0,0.122429258,0.246587277,0.650093715,8.787473059,18.78546537,0.986349084,3.990230338,4.976579422,0,0,0,0,0,0,0
410,295,6,435502.7893,3672429.932,-81.69190179,33.18879191,Clearcut <5,LF 20: Developed,16,Developed-Upland Herbaceous,0,0,0,0,0,0,0.250377668,0.269004289,0.493174531,6.119847309,14.61590019,2.152034308,0.538008577,2.690042885,0,0,0,0,0,0,0
411,295,2,435484.8042,3673032.843,-81.69213749,33.19422876,Pine forest 5-20 years,SAF 72: Southern Scrub Oak,658,Coastal Plain Oak Forest,5.783793268,11.76812788,8.549097609,26.10101875,147.2297174,0,0.359356111,0,0.336255347,3.878145222,7.307949982,0,13.80888691,13.80888691,0.089668099,1.008766085,1.098434184,0,0.784595854,2.794000102,4.931745084
412,297,0,437111.9414,3672619.598,-81.67465358,33.19059734,Pine forest 21-40 years,SAF 71: Longleaf Pine-Scrub Oak,677,Longleaf Pine Woodland,1.287493387,7.723421036,8.876139111,17.88705353,128.4179568,0,0.177440122,0.044834048,0.246587277,3.272885374,5.223166833,0,0,0,0.112085116,0.112085116,0.224170231,0,0,2.540000081,4.483404622
