subplot_id,network,site,plot,subplot,year,east_ae,north_ae,SAFSRM,EVG_GP,EVG_GP_N,os_loading_Mgha,snag_loading_Mgha,shrub_loading_Mgha,herb_loading_Mgha,10hr_loading_Mgha,100hr_loading_Mgha,1KhrS_loading_Mgha,1KhrR_loading_Mgha,litter_depth_,litter_loading_Mgha,duff_depth_,duff_loading_Mgha
WJ-BC-BC010,WJ,BC,burn,10,8,-1896608.48834000000,1037116.30300000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,0.00000000000,0.00000000000,0.00000000000,1.24900000000,0.26300000000,2.42600000000,13.36700000000,0.00000000000,NA,NA,NA,NA
WJ-BC-BC010,WJ,BC,burn,10,9,-1896608.48834000000,1037116.30300000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,0.00000000000,0.00000000000,0.00000000000,1.10400000000,0.38800000000,0.77200000000,18.53100000000,0.00000000000,NA,NA,NA,NA
WJ-BC-BC010,WJ,BC,burn,10,12,-1896608.48834000000,1037116.30300000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,0.00000000000,0.00000000000,0.00000000000,1.99400000000,0.38800000000,2.20600000000,17.50100000000,0.00000000000,NA,NA,NA,NA
WJ-BC-BC010,WJ,BC,burn,10,16,-1896608.48834000000,1037116.30300000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,0.01600000000,0.00000000000,0.00000000000,0.74400000000,0.79000000000,5.95500000000,23.52400000000,0.00000000000,NA,NA,NA,NA
WJ-BC-BC011,WJ,BC,burn,11,6,-1896542.00344000000,1037070.38930000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,20.48400000000,0.97400000000,0.00000000000,0.29100000000,0.09700000000,0.00000000000,0.00000000000,0.00000000000,1.90000000000,1.84400000000,2.60000000000,4.89800000000
WJ-BC-BC011,WJ,BC,burn,11,7,-1896542.00344000000,1037070.38930000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,0.00000000000,0.00000000000,0.00000000000,0.61300000000,0.27700000000,0.99300000000,1.92400000000,0.00000000000,1.60000000000,6.80900000000,0.10000000000,1.83900000000
WJ-BC-BC011,WJ,BC,burn,11,8,-1896542.00344000000,1037070.38930000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,0.00000000000,0.00000000000,0.00000000000,1.00400000000,0.09700000000,0.11000000000,0.84200000000,0.00000000000,NA,NA,NA,NA
WJ-BC-BC011,WJ,BC,burn,11,9,-1896542.00344000000,1037070.38930000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,0.00000000000,0.00000000000,0.00000000000,1.03500000000,0.52700000000,0.55100000000,0.84200000000,0.00000000000,NA,NA,NA,NA
WJ-BC-BC011,WJ,BC,burn,11,12,-1896542.00344000000,1037070.38930000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,0.00000000000,0.00000000000,0.00000000000,3.53400000000,0.09700000000,0.33100000000,5.97000000000,0.00000000000,NA,NA,NA,NA
WJ-BC-BC011,WJ,BC,burn,11,16,-1896542.00344000000,1037070.38930000000,LF 54: Introduced Upland Vegetation - Herbaceous,702,Introduced Annual Grassland,14.48000000000,1.40400000000,0.00000000000,1.25000000000,0.20800000000,1.98500000000,14.91000000000,0.00000000000,NA,NA,NA,NA
