"fuelType","distr","n.obs","prop0","param1.est","param1.sd","param1.cv","param2.est","param2.sd","param2.cv","KS.pVal","equivalence.val"
"X100hr_loading_Mgha","lnormLL",195,0.137,1.067,0.059,0.055,0.821,0.042,0.051,0.043,0.004
"X10hr_loading_Mgha","lnormLL",213,0.058,0.458,0.069,0.151,1.002,0.049,0.049,0.056,0.008
"X10Khr_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X10KhrR_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X10KhrS_loading_Mgha","lnormLL",115,0.281,2.742,0.075,0.027,0.797,0.053,0.066,0.444,0.005
"X1hr_loading_Mgha","lnormLL",64,0.03,-1.803,0.154,-0.085,1.229,0.107,0.087,0.543,0.019
"X1Khr_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1KhrR_loading_Mgha","lnormLL",40,0.755,0.811,0.164,0.202,1.024,0.114,0.112,0.943,0.023
"X1KhrS_loading_Mgha","gammaLL",142,0.129,1.417,0.16,0.113,0.174,0.024,0.136,0.935,0.009
"cwd_loading_Mgha","lnormLL",314,0.057,3.277,0.077,0.023,1.342,0.054,0.04,0.07,0.01
"cwd_rotten_loading_Mgha","gammaLL",146,0.482,0.702,0.072,0.103,0.01,0.002,0.147,0.795,0.013
"cwd_sound_loading_Mgha","lnormLL",207,0.269,2.938,0.083,0.028,1.205,0.058,0.049,0.001,0.013
"duff_depth_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"duff_loading_Mgha","gammaLL",55,0.018,1.742,0.197,0.113,62.731,5.034,0.08,0,0.038
"fwd_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GT10KhrR_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GT10KhrS_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"herb_loading_Mgha","gammaLL",60,0,1.011,0.18,0.178,1.534,0.345,0.225,0,0.037
"herb_percentlive_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lichen_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"litter_depth_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"litter_loading_Mgha","gammaLL",58,0,1.173,0.212,0.181,0.109,0.024,0.224,0.015,0.037
"moss_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ms_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"os_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"shrub_loading_Mgha","gammaLL",53,0.054,4.023,0.835,0.208,0.992,0.219,0.22,0.171,0.019
"snag_loading_Mgha","lnormLL",47,0.145,2.254,0.172,0.076,1.183,0.124,0.104,0.382,0.01
"tree_crown_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_loading_Mgha","gammaLL",52,0,1.384,0.269,0.195,0.009,0.002,0.235,0.308,0.011
"us_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
