"fuelType","distr","n.obs","prop0","param1.est","param1.sd","param1.cv","param2.est","param2.sd","param2.cv","KS.pVal","equivalence.val"
"X100hr_loading_Mgha","lnormLL",765,0.09,1.354,0.034,0.025,0.939,0.024,0.026,0,0.005
"X10hr_loading_Mgha","lnormLL",816,0.02,0.552,0.033,0.06,0.958,0.024,0.025,0.047,0.007
"X10Khr_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X10KhrR_loading_Mgha","lnormLL",49,0.793,2.217,0.116,0.052,0.809,0.081,0.1,0.109,0.02
"X10KhrS_loading_Mgha","lnormLL",93,0.61,2.373,0.072,0.031,0.704,0.052,0.073,0.185,0.013
"X1hr_loading_Mgha","gammaLL",630,0.026,1.597,0.084,0.053,3.584,0.223,0.062,0.123,0.007
"X1Khr_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X1KhrR_loading_Mgha","lnormLL",132,0.541,1.531,0.104,0.068,1.199,0.075,0.062,0.086,0.008
"X1KhrS_loading_Mgha","gammaLL",234,0.186,1.125,0.096,0.086,0.073,0.008,0.108,0.324,0.007
"cwd_loading_Mgha","gammaLL",611,0.082,1.031,0.052,0.051,0.043,0.003,0.065,0.476,0.003
"cwd_rotten_loading_Mgha","gammaLL",433,0.314,0.91,0.055,0.061,0.067,0.005,0.079,0.001,0.018
"cwd_sound_loading_Mgha","lnormLL",506,0.204,1.434,0.067,0.047,1.497,0.047,0.032,0,0.009
"duff_depth_","gammaLL",164,0.035,2.712,0.295,0.109,1.269,0.151,0.119,0.617,0.012
"duff_loading_Mgha","gammaLL",292,0.027,1.464,0.111,0.076,0.069,0.006,0.09,0.621,0.009
"fwd_loading_Mgha","gammaLL",292,0,1.833,0.145,0.079,0.301,0.027,0.091,0.113,0.012
"GT10KhrR_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GT10KhrS_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"herb_loading_Mgha","gammaLL",320,0.009,0.998,0.07,0.07,2.021,0.183,0.091,0.056,0.008
"herb_percentlive_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lichen_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"litter_depth_","gammaLL",162,0.024,2.727,0.293,0.108,2.345,0.279,0.119,0.035,0.014
"litter_loading_Mgha","gammaLL",305,0.003,2.223,0.173,0.078,0.405,0.035,0.087,0.77,0.01
"moss_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ms_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"os_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"shrub_loading_Mgha","gammaLL",172,0.049,2.374,0.242,0.102,1.177,0.135,0.115,0.012,0.011
"snag_loading_Mgha","lnormLL",132,0.169,2.223,0.106,0.048,1.246,0.075,0.06,0.264,0.005
"tree_crown_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_loading_Mgha","gammaLL",152,0.038,2.057,0.23,0.112,0.022,0.003,0.125,0.002,0.019
"us_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
