"fuelType","distr","n.obs","prop0","param1.est","param1.sd","param1.cv","param2.est","param2.sd","param2.cv","KS.pVal","equivalence.val"
"X100hr_loading_Mgha","lnormLL",802,0.137,1.374,0.029,0.021,0.827,0.021,0.025,0.001,0.006
"X10hr_loading_Mgha","gammaLL",886,0.045,1.381,0.059,0.043,0.517,0.026,0.051,0.027,0.012
"X10Khr_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X10KhrR_loading_Mgha","lnormLL",133,0.545,2.781,0.072,0.026,0.836,0.05,0.06,0.085,0.006
"X10KhrS_loading_Mgha","lnormLL",151,0.483,2.904,0.078,0.027,0.949,0.054,0.057,0.166,0.014
"X1hr_loading_Mgha","gammaLL",769,0.056,1.238,0.057,0.046,2.023,0.115,0.057,0,0.007
"X1Khr_loading_Mgha","gammaLL",42,0,1.104,0.245,0.222,0.018,0.005,0.279,0.01,0.045
"X1KhrR_loading_Mgha","gammaLL",183,0.395,1.28,0.123,0.096,0.142,0.017,0.119,0.253,0.017
"X1KhrS_loading_Mgha","lnormLL",236,0.211,2.061,0.074,0.036,1.132,0.053,0.046,0.282,0.007
"cwd_loading_Mgha","gammaLL",532,0.067,1.072,0.059,0.055,0.027,0.002,0.068,0.359,0.009
"cwd_rotten_loading_Mgha","gammaLL",577,0.256,0.941,0.048,0.051,0.04,0.003,0.068,0.029,0.013
"cwd_sound_loading_Mgha","gammaLL",586,0.23,0.835,0.042,0.05,0.043,0.003,0.069,0.009,0.017
"duff_depth_","gammaLL",363,0.005,1.394,0.095,0.068,0.498,0.041,0.082,0.31,0.012
"duff_loading_Mgha","gammaLL",487,0.008,1.488,0.086,0.058,0.064,0.004,0.069,0.646,0.005
"fwd_loading_Mgha","gammaLL",268,0.015,1.69,0.137,0.081,0.214,0.02,0.094,0.236,0.006
"GT10KhrR_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GT10KhrS_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"herb_loading_Mgha","gammaLL",458,0.021,0.959,0.056,0.059,1.732,0.131,0.076,0,0.011
"herb_percentlive_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lichen_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"litter_depth_","gammaLL",317,0.012,1.55,0.114,0.073,1.381,0.12,0.087,0.532,0.014
"litter_loading_Mgha","gammaLL",471,0.004,1.674,0.101,0.06,0.331,0.023,0.07,0.599,0.006
"moss_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ms_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"os_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"shrub_loading_Mgha","gammaLL",305,0.022,1.167,0.087,0.074,0.638,0.058,0.091,0.003,0.011
"snag_loading_Mgha","gammaLL",122,0.147,0.853,0.098,0.115,0.039,0.006,0.157,0.899,0.003
"tree_crown_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_loading_Mgha","gammaLL",136,0.007,1.396,0.161,0.115,0.011,0.002,0.138,0.096,0.022
"us_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
