Stand,Litter_tpa,1hr ,10hr,10FM,100hr,3S,6S,9S,20S,3R,6R,9R,20R,1000FM,Duff_tpa,DuffFM,DuffDepth,Herb,Shrub,Foliage,Branch,%Burn,Region,Group,Season,Category
AP018,2.39,0.03,0.24,61.4,0.17,0.34,0,,,,0,,,97,0,75,0,0.39,1.34,0,0,0,InteriorWest,WhiPinHem,Summer,Natural
AP034,0.94,0.02,0.17,73.98,0.14,0.11,0,,,,0,,,97,0,75,0,0.21,0.76,0,0,0,InteriorWest,WhiPinHem,Summer,Natural
AP050,0.84,0.22,0.63,22.56,0.35,0.34,0,,,,0,,,93,0,75,0,0.39,2.29,0,0,0,InteriorWest,WhiPinHem,Summer,Natural
AP213,2.14,0.01,0.14,54.91,0.32,1.27,0,,,,0,,,97,0,75,0,0.01,1.57,0,0,0,InteriorWest,WhiPinHem,Summer,Natural
AP214E,1.509,0.007,0.228,40.7,0,0,0,,,,0,,,97,0,75,0,0.131,1.255,0,0,0,InteriorWest,WhiPinHem,Summer,Natural
AP214NE,2.955,0.081,0.452,52.3,0,0,0,,,,0,,,97,0,75,0,0.067,1.224,0,0,0,InteriorWest,WhiPinHem,Summer,Natural
AP214W,3.084,0.03,0.458,46.5,0,0,0,,,,0,,,97,0,75,0,0.031,1.341,0,0,0,InteriorWest,WhiPinHem,Summer,Natural
AP302C,1.985,0.002,0.443,16,0,0,0,,,,0,,,97,0,75,0,0.446,1.405,0,0,0,InteriorWest,WhiPinHem,Summer,Natural
AP302N,2.172,0.002,0.237,18.3,0,0,0,,,,0,,,97,0,75,0,0.422,1.256,0,0,0,InteriorWest,WhiPinHem,Summer,Natural
AP302S,1.766,0.007,0.239,13.7,0,0,0,,,,0,,,97,0,75,0,0.164,1.481,0,0,0,InteriorWest,WhiPinHem,Summer,Natural
AP303E,1.554,0.004,0.453,83.5,0,0,0,,,,0,,,97,0,75,0,1.653,1.17,0,0,0,InteriorWest,WhiPinHem,Summer,Natural
AP312,1.61,0.16,0.67,55.98,0.97,2.16,0,,,,0,,,101,0,75,0,0.12,3.44,0,0,0,InteriorWest,WhiPinHem,Summer,Natural
AP319,2.18,0.1,0.18,48.85,0.26,0.53,0,,,,0,,,97,0,75,0,0.09,1.89,0,0,0,InteriorWest,WhiPinHem,Summer,Natural
