Unit,Litter_tpa,1hr ,10hr,10FM,100hr,Log,1000FM,%Rotten,Distribution,Duff_tpa,DuffFM,DuffDepth,Method,Herb,Shrub,Foliage,Branch,%Burn,Region,Group,Season,Category
"AP328",1.19,0.08,0.33,56.39,0.24,0.98,66,71,"Even",0,75,0,"Entire",0.41,1.58,0,0,0,"SouthEast","CoastPlain","Winter","Natural"
"AP342N",1.53,0.007,0.103,74.1,0,0,97,0,"Even",0,75,0,"Entire",0.091,1.24,0,0,0,"SouthEast","CoastPlain","Winter","Natural"
"AP342S",2.019,0.005,0.328,75.6,0,0,97,0,"Even",0,75,0,"Entire",0.175,1.947,0,0,0,"SouthEast","CoastPlain","Winter","Natural"
"BW204A",2.333,0.003,0.194,69.2,0,0,97,0,"Even",0,75,0,"Entire",0.4,0.723,0,0,0,"SouthEast","CoastPlain","Winter","Natural"
"BW215A",0.922,0.009,0.141,46,0,0,97,0,"Even",0,75,0,"Entire",0.468,0.49,0,0,0,"SouthEast","CoastPlain","Winter","Natural"
"E100BE",1.64,0.1,0.43,39.95,0.64,4.46,123,52,"Even",0,75,0,"Entire",0.08,2.07,0,0,0,"SouthEast","CoastPlain","Winter","Natural"
"E501B",1.19,0.06,0.23,48,0.34,2.46,97,50,"Even",0,75,0,"Entire",0.12,1.4,0,0,0,"SouthEast","CoastPlain","Winter","Natural"
"E502B-1A",3.939,0.026,1.121,43.2,0,0,97,0,"Even",0,75,0,"Entire",0.112,1.098,0,0,0,"SouthEast","CoastPlain","Winter","Natural"
"E502B-1B",2.996,0.025,0.757,12,0,0,97,0,"Even",0,75,0,"Entire",0.15,0.965,0,0,0,"SouthEast","CoastPlain","Winter","Natural"
"E502B-1C",5.894,0.035,0.844,12,0,0,97,0,"Even",0,75,0,"Entire",0.114,1.274,0,0,0,"SouthEast","CoastPlain","Winter","Natural"
"E502B-2A",5.355,0,0.797,25,0,0,97,0,"Even",0,75,0,"Entire",0.606,0.898,0,0,0,"SouthEast","CoastPlain","Winter","Natural"
"E502B-2B",4.008,0,0.836,62.5,0,0,97,0,"Even",0,75,0,"Entire",0.555,0.972,0,0,0,"SouthEast","CoastPlain","Winter","Natural"
