Std,LitPre,LitCon,LitPos,DW1Pre,DW1Con,DW1Pos,DW10Pre,DW10Con,DW10Pos,DW100Pre,DW100Con,DW100Pos,DW1kSndPre,DW1kSndCon,DW1kSndPos,DW1kRotPre,DW1kRotCon,DW1kRotPos,DufPre,DufCon,DufPos,HerPre,HerCon,HerPos,ShrPre,ShrCon,ShrPos,FolPre,FolCon,FolPos,BraPre,BraCon,BraPos,MSEPer,DufDepPre,DufDepCon,DufDepPos,PM10F,PM10S,PM25F,PM25S,CH4F,CH4S,COF,COS,CO2F,CO2S,NOXF,NOXS,SO2F,SO2S,FlaDur,SmoDur,FlaCon,SmoCon
"8086", 1.01, 1.01, 0.00, 0.10, 0.10, 0.00, 0.06, 0.06, 0.00, 3.35, 3.35, 0.00,40.00,17.89,22.11,17.00, 7.91, 9.09,31.68,15.72,15.96, 0.01, 0.01, 0.00, 3.41, 2.04, 1.36, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,28.93, 4.00, 1.87, 2.13, 19,2405, 16,2038,  5,1238, 40,27153,10998,110524, 20,  0,  6, 90,    60,  7815,  3.09, 44.99
"8087", 2.18, 2.18, 0.00, 0.86, 0.86, 0.00, 0.26, 0.26, 0.00, 0.52, 0.52, 0.00,40.00,17.27,22.73,17.00, 7.65, 9.35,31.68,15.72,15.96, 0.25, 0.25, 0.00, 1.96, 1.17, 0.78, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,28.93, 4.00, 1.87, 2.13, 27,2215, 23,1877,  7,1141, 58,25017,15837,101826, 29,  0,  9, 83,    75,  8055,  4.45, 41.45
"8088", 7.50, 7.50, 0.00, 1.32, 1.32, 0.00, 0.48, 0.48, 0.00, 0.54, 0.54, 0.00,40.00,17.74,22.26,17.00, 7.68, 9.32,31.68,15.72,15.96, 0.81, 0.81, 0.00, 1.81, 1.09, 0.73, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,28.93, 4.00, 1.87, 2.13, 66,2252, 56,1909, 17,1159,140,25431,38201,103515, 69,  0, 21, 84,    90, 14055, 10.74, 42.14
"8089", 2.43, 2.43, 0.00, 0.30, 0.30, 0.00, 0.09, 0.09, 0.00, 0.99, 0.99, 0.00,40.00,17.32,22.68,17.00, 7.67, 9.33,31.68,15.72,15.96, 1.21, 1.21, 0.00, 3.65, 2.19, 1.46, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,28.93, 4.00, 1.87, 2.13, 38,2233, 32,1893, 10,1150, 80,25217,21829,102644, 39,  0, 12, 84,    75,  8025,  6.14, 41.78
"8090", 1.08, 1.08, 0.00, 0.11, 0.11, 0.00, 0.18, 0.18, 0.00, 0.78, 0.78, 0.00,40.00,17.25,22.75,17.00, 7.67, 9.33,31.68,15.72,15.96, 2.17, 2.17, 0.00, 4.41, 2.65, 1.77, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,28.93, 4.00, 1.87, 2.13, 36,2227, 31,1887,  9,1146, 77,25146,21097,102354, 38,  0, 12, 83,    60,  8025,  5.93, 41.66
"8091", 1.16, 1.16, 0.00, 0.86, 0.86, 0.00, 0.11, 0.11, 0.00, 0.78, 0.78, 0.00,40.00,17.26,22.74,17.00, 7.66, 9.34,31.68,15.72,15.96, 0.52, 0.52, 0.00, 3.05, 1.83, 1.22, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,28.93, 4.00, 1.87, 2.13, 27,2221, 23,1883,  7,1144, 57,25085,15460,102104, 28,  0,  9, 83,    75,  8040,  4.35, 41.56
"8092", 2.18, 2.18, 0.00, 0.35, 0.35, 0.00, 0.66, 0.66, 0.00, 1.40, 1.40, 0.00,40.00,17.72,22.28,17.00, 7.82, 9.18,31.68,15.72,15.96, 1.27, 1.27, 0.00, 4.86, 2.92, 1.95, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,28.93, 4.00, 1.87, 2.13, 41,2314, 35,1961, 11,1191, 88,26131,23991,106362, 43,  0, 13, 87,    75,  7860,  6.75, 43.29
"8093", 4.89, 4.89, 0.00, 0.30, 0.30, 0.00, 0.31, 0.31, 0.00, 3.35, 3.35, 0.00,40.00,18.13,21.87,17.00, 7.93, 9.07,31.68,15.72,15.96, 0.52, 0.52, 0.00, 2.34, 1.40, 0.93, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,28.93, 4.00, 1.87, 2.13, 44,2427, 37,2057, 11,1249, 93,27404,25399,111546, 46,  0, 14, 91,    75, 10650,  7.14, 45.40
"8094", 0.93, 0.93, 0.00, 0.34, 0.34, 0.00, 0.41, 0.41, 0.00, 1.12, 1.12, 0.00,40.00,17.51,22.49,17.00, 7.76, 9.24,31.68,15.72,15.96, 0.08, 0.08, 0.00, 5.45, 3.27, 2.18, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,28.93, 4.00, 1.87, 2.13, 27,2287, 23,1938,  7,1178, 57,25827,15470,105125, 28,  0,  9, 86,    60,  7920,  4.35, 42.79
"8095", 3.13, 3.13, 0.00, 0.04, 0.04, 0.00, 0.19, 0.19, 0.00, 1.25, 1.25, 0.00,40.00,17.48,22.52,17.00, 7.73, 9.27,31.68,15.72,15.96, 3.24, 3.24, 0.00, 6.37, 3.82, 2.55, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,28.93, 4.00, 1.87, 2.13, 63,2267, 53,1921, 16,1167,133,25598,36237,104191, 65,  0, 20, 85,    60,  7965, 10.19, 42.41
"8096", 4.30, 4.30, 0.00, 0.72, 0.72, 0.00, 0.70, 0.70, 0.00, 4.88, 4.88, 0.00,40.00,18.43,21.57,17.00, 8.01, 8.99,31.68,15.72,15.96, 2.47, 2.47, 0.00, 5.43, 3.26, 2.17, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,28.93, 4.00, 1.87, 2.13, 66,2550, 56,2161, 17,1313,141,28789,38365,117182, 69,  0, 22, 95,    75, 12255, 10.79, 47.70
"8097", 2.11, 2.11, 0.00, 0.03, 0.03, 0.00, 0.03, 0.03, 0.00, 0.36, 0.36, 0.00,40.00,16.95,23.05,17.00, 7.54, 9.46,31.68,15.72,15.96, 0.47, 0.47, 0.00, 4.35, 2.61, 1.74, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,28.93, 4.00, 1.87, 2.13, 32,2171, 27,1840,  8,1118, 68,24515,18477,99784, 33,  0, 10, 81,    60,  8115,  5.19, 40.62
"8098",11.07,11.07, 0.00, 3.54, 3.54, 0.00, 0.55, 0.55, 0.00, 0.61, 0.61, 0.00,40.00,18.19,21.81,17.00, 7.68, 9.32,31.68,15.72,15.96, 1.31, 1.31, 0.00, 4.85, 2.91, 1.94, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,28.93, 4.00, 1.87, 2.13,116,2284, 98,1935, 30,1176,246,25787,67077,104962,121,  0, 38, 85,    90, 17700, 18.86, 42.72
"8099", 4.90, 4.90, 0.00, 6.66, 6.66, 0.00, 0.98, 0.98, 0.00, 1.75, 1.75, 0.00,40.00,18.45,21.55,17.00, 7.85, 9.15,31.68,15.72,15.96, 0.10, 0.10, 0.00, 3.44, 2.07, 1.38, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,28.93, 4.00, 1.87, 2.13, 89,2352, 75,1993, 23,1211,189,26557,51454,108098, 93,  0, 29, 88,   180, 16245, 14.47, 44.00
"8100", 3.01, 3.01, 0.00, 0.51, 0.51, 0.00, 0.31, 0.31, 0.00, 1.36, 1.36, 0.00,40.00,17.61,22.39,17.00, 7.77, 9.23,31.68,15.72,15.96, 0.77, 0.77, 0.00, 6.95, 4.17, 2.78, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,28.93, 4.00, 1.87, 2.13, 52,2286, 44,1937, 13,1177,110,25813,30099,105070, 54,  0, 17, 86,    75,  7920,  8.46, 42.77
