EVT_Fuel,EVT_Fuel_N,FCCSID,Fuelbed Name,,EVT_FUEL,EVT_FUEL_N,EVT_LF,EVT_GP,EVT_GP_N,EVT_PHYS
2130,He California Mesic Serpentine Grassland,237,Huckleberry-heather shrubland,,2130,He California Mesic Serpentine Grassland,Herb,617,Grassland,Grassland
2131,He California Northern Coastal Grassland,65,Tussock grass-oatgrass grassland,,2131,He California Northern Coastal Grassland,Herb,617,Grassland,Grassland
2132,Sh Central Mixedgrass Prairie,66,Bluebunch wheatgrass-bluegrass grassland,,2132,Sh Central Mixedgrass Prairie,Herb,646,Mixedgrass Prairie,Grassland
2133,He Chihuahuan Sandy Plains Semi-Desert Grassland,353,Honey mesquite/black grama steppe grassland,,2133,He Chihuahuan Sandy Plains Semi-Desert Grassland,Herb,617,Grassland,Grassland
2134,He Columbia Basin Foothill and Canyon Dry Grassland,218,Gambel oak/big sagebrush shrubland,,2134,He Columbia Basin Foothill and Canyon Dry Grassland,Herb,617,Grassland,Grassland
2135,He Inter-Mountain Basins Semi-Desert Grassland,236,Tobosa-grama grassland,,2135,He Inter-Mountain Basins Semi-Desert Grassland,Herb,617,Grassland,Grassland
2136,He Mediterranean California Alpine Dry Tundra,315,Showy sedge-black alpine sedge grassland,,2136,He Mediterranean California Alpine Dry Tundra,Herb,616,Dry Tundra,Grassland
2137,He Mediterranean California Subalpine Meadow,315,Showy sedge-black alpine sedge grassland,,2137,He Mediterranean California Subalpine Meadow,Herb,601,"Alpine Dwarf-Shrubland, Fell-field and Meadow",Grassland
2138,He North Pacific Montane Grassland,41,Idaho fescue-bluebunch wheatgrass grassland,,2138,He North Pacific Montane Grassland,Herb,617,Grassland,Grassland
2139,He Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,232,Mesquite savanna,,2139,He Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Herb,617,Grassland,Grassland
2140,He Northern Rocky Mountain Subalpine-Upper Montane Grassland,315,Showy sedge-black alpine sedge grassland,,2140,He Northern Rocky Mountain Subalpine-Upper Montane Grassland,Herb,617,Grassland,Grassland
2141,He Northwestern Great Plains Mixedgrass Prairie,66,Bluebunch wheatgrass-bluegrass grassland,,2141,He Northwestern Great Plains Mixedgrass Prairie,Herb,646,Mixedgrass Prairie,Grassland
2142,He Columbia Basin Palouse Prairie,57,Wheatgrass-cheatgrass grassland - exotic species,,2142,He Columbia Basin Palouse Prairie,Herb,617,Grassland,Grassland
2143,He Rocky Mountain Alpine Fell-Field,315,Showy sedge-black alpine sedge grassland,,2143,He Rocky Mountain Alpine Fell-Field,Herb,601,"Alpine Dwarf-Shrubland, Fell-field and Meadow",Grassland
2144,He Rocky Mountain Alpine Turf,315,Showy sedge-black alpine sedge grassland,,2144,He Rocky Mountain Alpine Turf,Herb,616,Dry Tundra,Grassland
2145,He Rocky Mountain Subalpine-Montane Mesic Meadow,315,Showy sedge-black alpine sedge grassland,,2145,He Rocky Mountain Subalpine-Montane Mesic Meadow,Herb,601,"Alpine Dwarf-Shrubland, Fell-field and Meadow",Grassland
2146,He Southern Rocky Mountain Montane-Subalpine Grassland,315,Showy sedge-black alpine sedge grassland,,2146,He Southern Rocky Mountain Montane-Subalpine Grassland,Herb,617,Grassland,Grassland
2147,He Western Great Plains Foothill and Piedmont Grassland,57,Wheatgrass-cheatgrass grassland - exotic species,,2147,He Western Great Plains Foothill and Piedmont Grassland,Herb,617,Grassland,Grassland
2148,Sh Western Great Plains Sand Prairie,236,Tobosa-grama grassland,,2148,Sh Western Great Plains Sand Prairie,Herb,647,Sand Prairie,Grassland
2149,He Western Great Plains Shortgrass Prairie,236,Tobosa-grama grassland,,2149,He Western Great Plains Shortgrass Prairie,Herb,648,Shortgrass Prairie,Grassland
2150,He Western Great Plains Tallgrass Prairie,420,Big bluestem-bluejoint grassland,,2150,He Western Great Plains Tallgrass Prairie,Herb,649,Tallgrass Prairie,Grassland
2151,Tr California Central Valley Riparian Woodland and Shrubland,301,Fremont cottonwood-California sycamore forest,,2151,Tr California Central Valley Riparian Woodland and Shrubland,Tree,635,Western Riparian Woodland and Shrubland,Riparian
2152,Tr California Montane Riparian Systems,302,Willow/sedge grassland,,2152,Tr California Montane Riparian Systems,Tree,635,Western Riparian Woodland and Shrubland,Riparian
2153,Sh Inter-Mountain Basins Greasewood Flat,310,Greasewood shrubland,,2153,Sh Inter-Mountain Basins Greasewood Flat,Shrub,619,Greasewood Shrubland,Shrubland
2154,Tr Inter-Mountain Basins Montane Riparian Systems,302,Willow/sedge grassland,,2154,Tr Inter-Mountain Basins Montane Riparian Systems,Tree,635,Western Riparian Woodland and Shrubland,Riparian
2155,Tr North American Warm Desert Riparian Systems,303,Cottonwood/willow savanna,,2155,Tr North American Warm Desert Riparian Systems,Shrub,635,Western Riparian Woodland and Shrubland,Riparian
2156,Tr North Pacific Lowland Riparian Forest and Shrubland,305,Red alder forest,,2156,Tr North Pacific Lowland Riparian Forest and Shrubland,Tree,632,Red Alder Forest and Woodland,Riparian
2157,Tr North Pacific Swamp Systems,304,Engelmann spruce-subalpine fir/horsetail forest,,2157,Tr North Pacific Swamp Systems,Tree,645,Western Red-cedar-Western Hemlock Forest,Riparian
2158,Tr North Pacific Montane Riparian Woodland and Shrubland,302,Willow/sedge grassland,,2158,Tr North Pacific Montane Riparian Woodland and Shrubland,Tree,635,Western Riparian Woodland and Shrubland,Riparian
2159,Tr Rocky Mountain Montane Riparian Systems,302,Willow/sedge grassland,,2159,Tr Rocky Mountain Montane Riparian Systems,Tree,635,Western Riparian Woodland and Shrubland,Riparian
2160,Tr Rocky Mountain Subalpine/Upper Montane Riparian Systems,302,Willow/sedge grassland,,2160,Tr Rocky Mountain Subalpine/Upper Montane Riparian Systems,Shrub,635,Western Riparian Woodland and Shrubland,Riparian
2161,Tr Northern Rocky Mountain Conifer Swamp,304,Engelmann spruce-subalpine fir/horsetail forest,,2161,Tr Northern Rocky Mountain Conifer Swamp,Tree,639,Spruce-Fir Forest and Woodland,Riparian
2162,Tr Western Great Plains Floodplain Systems,1,Black cottonwood-Douglas-fir-quaking aspen forest,,2162,Tr Western Great Plains Floodplain Systems,Tree,635,Western Riparian Woodland and Shrubland,Riparian
2163,He Pacific Coastal Marsh Systems,318,Bluejoint reedgrass-water sedge grassland,,2163,He Pacific Coastal Marsh Systems,Herb,608,Pacific Coastal Marsh,Riparian
2164,He Rocky Mountain Wetland-Herbaceous,318,Bluejoint reedgrass-water sedge grassland,,2164,He Rocky Mountain Wetland-Herbaceous,Herb,635,Western Herbaceous Wetland,Riparian
2165,Tr Northern Rocky Mountain Foothill Conifer Wooded Steppe,53,Pacific ponderosa pine forest,,2165,Tr Northern Rocky Mountain Foothill Conifer Wooded Steppe,Tree,614,Douglas-fir Forest and Woodland,Conifer
2166,Tr Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,52,Douglas-fir-Pacific ponderosa pine/oceanspray forest,,2166,Tr Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Tree,614,Douglas-fir Forest and Woodland,Conifer
2167,Tr Rocky Mountain Poor-Site Lodgepole Pine Forest,22,Mature lodgepole pine forest,,2167,Tr Rocky Mountain Poor-Site Lodgepole Pine Forest,Tree,622,Lodgepole Pine Forest and Woodland,Conifer
2168,Sh Northern Rocky Mountain Avalanche Chute Shrubland,319,Pacific silver fir-Sitka alder forest,,2168,Sh Northern Rocky Mountain Avalanche Chute Shrubland,Shrub,612,Deciduous Shrubland,Shrubland
2169,Sh Northern Rocky Mountain Subalpine Deciduous Shrubland,305,Red alder forest,,2169,Sh Northern Rocky Mountain Subalpine Deciduous Shrubland,Shrub,612,Deciduous Shrubland,Shrubland
2170,Tr Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral,0,Urban-Barren,,2170,Tr Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral,Tree,607,Chaparral,Shrubland
2171,He North Pacific Alpine and Subalpine Dry Grassland,315,Showy sedge-black alpine sedge grassland,,2171,He North Pacific Alpine and Subalpine Dry Grassland,Herb,617,Grassland,Grassland
2172,Tr Sierran-Intermontane Desert Western White Pine-White Fir Woodland,273,Engelmann spruce-Douglas-fir-white fir-ponderosa pine forest,,2172,Tr Sierran-Intermontane Desert Western White Pine-White Fir Woodland,Tree,643,Douglas-fir-Grand Fir-White Fir Forest and Woodland,Conifer
2173,Tr North Pacific Wooded Volcanic Flowage,28,Ponderosa pine savanna,,2173,Tr North Pacific Wooded Volcanic Flowage,Tree,625,Douglas-fir-Ponderosa Pine-Lodgepole Pine Forest and Woodland,Conifer
2174,Tr North Pacific Dry-Mesic Silver Fir-Western Hemlock-Douglas-fir Forest,8,Western hemlock-Douglas-fir-western redcedar/vine maple forest,,2174,Tr North Pacific Dry-Mesic Silver Fir-Western Hemlock-Douglas-fir Forest,Tree,642,Western Hemlock-Silver Fir Forest,Conifer
2177,Tr California Coastal Closed-Cone Conifer Forest and Woodland,306,Knobcone pine forest,,2177,Tr California Coastal Closed-Cone Conifer Forest and Woodland,Tree,610,Conifer-Oak Forest and Woodland,Conifer-Hardwood
2178,Tr North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,8,Western hemlock-Douglas-fir-western redcedar/vine maple forest,,2178,Tr North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,Tree,645,Western Red-cedar-Western Hemlock Forest,Conifer
2179,Tr Northwestern Great Plains-Black Hills Ponderosa Pine Woodland and Savanna,53,Pacific ponderosa pine forest,,,,,,,
2180,Tr Introduced Riparian Vegetation,305,Red alder forest,,2180,Tr Introduced Riparian Vegetation,Tree,701,Introduced Riparian Vegetation,Exotic Tree-Shrub
2181,He Introduced Upland Vegetation-Annual Grassland,57,Wheatgrass-cheatgrass grassland - exotic species,,,,,,,
2182,He Introduced Upland Vegetation-Perennial Grassland and Forbland,57,Wheatgrass-cheatgrass grassland - exotic species,,2182,He Introduced Upland Vegetation-Perennial Grassland and Forbland,Herb,703,Introduced Perennial Grassland and Forbland,Exotic Herbaceous
2183,He Introduced Upland Vegetation-Annual and Biennial Forbland,57,Wheatgrass-cheatgrass grassland - exotic species,,2183,He Introduced Upland Vegetation-Annual and Biennial Forbland,Herb,704,Introduced Annual and Biennial Forbland,Exotic Herbaceous
2184,He California Annual Grassland,57,Wheatgrass-cheatgrass grassland - exotic species,,2184,He California Annual Grassland,Herb,702,Introduced Annual Grassland,Exotic Herbaceous
2185,Tr Introduced Wetland Vegetation,456,Chinese tallow forest,,2185,Tr Introduced Wetland Vegetation,Herb,705,Introduced Wetland Vegetation,Exotic Tree-Shrub
2186,Sh Introduced Upland Vegetation-Shrub,305,Red alder forest,,2186,Sh Introduced Upland Vegetation-Shrub,Shrub,706,Introduced Upland Vegetation-Shrub,Shrubland
2187,Tr Introduced Upland Vegetation-Treed,429,Black locust forest,,2187,Tr Introduced Upland Vegetation-Treed,Tree,707,Introduced Upland Vegetation-Treed,Exotic Tree-Shrub
2190,Sh Recently Burned-Shrub Cover,0,Urban-Barren,,,,,,,
2191,He Recently Logged-Herb and Grass Cover,196,Loblolly pine/bluestem forest,,2191,He Recently Logged-Herb and Grass Cover,Herb,710,Transitional Herbacous Vegetation,Grassland
2192,Sh Recently Logged-Shrub Cover,401,Holly-privet shrubland,,2192,Sh Recently Logged-Shrub Cover,Shrub,720,Transitional Shrub Vegetation,Shrubland
2193,Tr Recently Logged-Tree Cover,402,Pine/holly-privet forest,,2193,Tr Recently Logged-Tree Cover,Tree,730,Transitional Forest Vegetation,Conifer
2194,Tr Ruderal Upland-Treed,180,Red maple-oak-hickory-sweetgum forest,,2194,Tr Ruderal Upland-Treed,Tree,740,Ruderal Forest,Conifer-Hardwood
2195,He Recently Burned-Herb and Grass Cover,0,Urban-Barren,,2195,He Recently Burned-Herb and Grass Cover,Herb,710,Transitional Herbacous Vegetation,Grassland
2200,Tr Coastal Douglas-fir Woodland,52,Douglas-fir-Pacific ponderosa pine/oceanspray forest,,2200,Tr Coastal Douglas-fir Woodland,Tree,610,Conifer-Oak Forest and Woodland,Conifer
2201,Tr Quercus garryana Woodland Alliance,6,Oregon white oak-Douglas-fir forest,,2201,Tr Quercus garryana Woodland Alliance,Tree,629,Western Oak Woodland and Savanna,Hardwood
2202,Tr Juniperus occidentalis Wooded Herbaceous Alliance,20,Western juniper/curl-leaf mountain mahogany woodland,,2202,Tr Juniperus occidentalis Wooded Herbaceous Alliance,Tree,620,Juniper Woodland and Savanna,Conifer
2203,Tr Juniperus occidentalis Woodland Alliance,69,Western juniper/sagebrush-bitterbrush shrubland,,2203,Tr Juniperus occidentalis Woodland Alliance,Tree,620,Juniper Woodland and Savanna,Conifer
2205,Tr Tsuga mertensiana-Abies amabilis Woodland Alliance,238,Pacific silver fir-mountain hemlock forest,,2205,Tr Tsuga mertensiana-Abies amabilis Woodland Alliance,Tree,627,Mountain Hemlock Forest and Woodland,Conifer
2206,Tr Pseudotsuga menziesii Giant Forest Alliance,8,Western hemlock-Douglas-fir-western redcedar/vine maple forest,,2206,Tr Pseudotsuga menziesii Giant Forest Alliance,Tree,614,Douglas-fir Forest and Woodland,Conifer
2208,Tr Abies concolor Forest Alliance,19,White fir-giant sequoia-sugar pine forest,,2208,Tr Abies concolor Forest Alliance,Tree,643,Douglas-fir-Grand Fir-White Fir Forest and Woodland,Conifer
2210,Sh Coleogyne ramosissima Shrubland Alliance,309,Blackbrush shrubland,,2210,Sh Coleogyne ramosissima Shrubland Alliance,Shrub,606,Blackbrush Shrubland,Shrubland
2211,Sh Grayia spinosa Shrubland Alliance,309,Blackbrush shrubland,,2211,Sh Grayia spinosa Shrubland Alliance,Shrub,613,Desert Scrub,Shrubland
2213,Sh Quercus havardii Shrubland Alliance,354,Havard oak shrubland,,2213,Sh Quercus havardii Shrubland Alliance,Shrub,696,Juniper-Oak,Conifer-Hardwood
2214,Sh Arctostaphylos patula Shrubland Alliance,218,Gambel oak/big sagebrush shrubland,,2214,Sh Arctostaphylos patula Shrubland Alliance,Shrub,607,Chaparral,Shrubland
2215,Sh Quercus turbinella Shrubland Alliance,30,Turbinella oak-alderleaf mountain mahogany shrubland,,2215,Sh Quercus turbinella Shrubland Alliance,Shrub,607,Chaparral,Shrubland
2216,Sh Cercocarpus montanus Shrubland Alliance,313,Mountain mahogany shrubland,,2216,Sh Cercocarpus montanus Shrubland Alliance,Shrub,607,Chaparral,Shrubland
2217,Sh Quercus gambelii Shrubland Alliance,218,Gambel oak/big sagebrush shrubland,,2217,Sh Quercus gambelii Shrubland Alliance,Shrub,612,Deciduous Shrubland,Shrubland
2218,Sps North American Warm Desert Sparsely Vegetated Systems II,0,Urban-Barren,,2218,Sps North American Warm Desert Sparsely Vegetated Systems II,Sparse,700,Sparse Vegetation,Sparsely Vegetated
2219,Sps Inter-Mountain Basins Sparsely Vegetated Systems II,0,Urban-Barren,,2219,Sps Inter-Mountain Basins Sparsely Vegetated Systems II,Sparse,700,Sparse Vegetation,Sparsely Vegetated
2220,Sh Artemisia tridentata ssp. vaseyana Shrubland Alliance,56,Sagebrush shrubland - exotic species,,2220,Sh Artemisia tridentata ssp. vaseyana Shrubland Alliance,Shrub,604,Big Sagebrush Shrubland and Steppe,Shrubland
2221,Sps Mediterranean California Sparsely Vegetated Systems II,0,Urban-Barren,,2221,Sps Mediterranean California Sparsely Vegetated Systems II,Sparse,700,Sparse Vegetation,Sparsely Vegetated
2222,Sps Rocky Mountain Alpine/Montane Sparsely Vegetated Systems II,0,Urban-Barren,,2222,Sps Rocky Mountain Alpine/Montane Sparsely Vegetated Systems II,Sparse,700,Sparse Vegetation,Sparsely Vegetated
2223,Sps Sonoran Desert Sparsely Vegetated,0,Urban-Barren,,2223,Sps Sonoran Desert Sparsely Vegetated,Sparse,700,Sparse Vegetation,Sparsely Vegetated
2227,Tr Pseudotsuga menziesii Forest Alliance,52,Douglas-fir-Pacific ponderosa pine/oceanspray forest,,2227,Tr Pseudotsuga menziesii Forest Alliance,Tree,614,Douglas-fir Forest and Woodland,Conifer
2228,Tr Larix occidentalis Forest Alliance,320,Western larch forest,,2228,Tr Larix occidentalis Forest Alliance,Tree,644,Western Larch Forest and Woodland,Conifer
2229,Tr Pinus albicaulis Woodland Alliance,61,Whitebark pine/subalpine fir forest,,2229,Tr Pinus albicaulis Woodland Alliance,Tree,640,Subalpine Woodland and Parkland,Conifer
2230,Tr Pinus sabiniana Woodland Alliance,36,California live oak-blue oak woodland,,2230,Tr Pinus sabiniana Woodland Alliance,Tree,610,Conifer-Oak Forest and Woodland,Conifer-Hardwood
2231,Tr Sequoiadendron giganteum Forest Alliance,19,White fir-giant sequoia-sugar pine forest,,2231,Tr Sequoiadendron giganteum Forest Alliance,Tree,643,Douglas-fir-Grand Fir-White Fir Forest and Woodland,Conifer
2232,Tr Abies grandis Forest Forest,208,Grand fir-Douglas-fir forest,,2232,Tr Abies grandis Forest Forest,Tree,643,Douglas-fir-Grand Fir-White Fir Forest and Woodland,Conifer
2238,Tr Laurentian-Acadian Northern Oak Forest,123,White oak-northern red oak-black oak-hickory forest,,2238,Tr Laurentian-Acadian Northern Oak Forest,Tree,665,Red Pine-White Pine Forest and Woodland,Hardwood
2239,Tr Laurentian-Acadian Northern Pine-Oak Forest,109,Eastern white pine-northern red oak-red maple forest,,2239,Tr Laurentian-Acadian Northern Pine-Oak Forest,Tree,665,Red Pine-White Pine Forest and Woodland,Conifer-Hardwood
2240,Tr Laurentian-Acadian Hardwood Forest,110,American beech-yellow birch-sugar maple forest,,2240,Tr Laurentian-Acadian Hardwood Forest,Tree,685,Pine-Hemlock-Hardwood Forest,Hardwood
2241,Tr Laurentian-Acadian Pine-Hemlock-Hardwood Forest,287,Eastern white pine-eastern hemlock forest,,2241,Tr Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Tree,685,Pine-Hemlock-Hardwood Forest,Conifer-Hardwood
2242,Tr Laurentian Oak Barrens,459,Northern pin oak forest,,2242,Tr Laurentian Oak Barrens,Tree,676,Jack Pine Forest,Hardwood
2243,Tr Laurentian Pine-Oak Barrens,460,Red-jack pine-northern pin oak forest,,2243,Tr Laurentian Pine-Oak Barrens,Tree,676,Jack Pine Forest,Conifer-Hardwood
2244,Tr Boreal Hardwood Forest,142,Quaking aspen-paper birch forest,,2244,Tr Boreal Hardwood Forest,Tree,693,Spruce-Fir-Hardwood Forest,Hardwood
2245,Tr Boreal White Spruce-Fir-Hardwood Forest,103,White spruce-paper birch forest,,2245,Tr Boreal White Spruce-Fir-Hardwood Forest,Tree,693,Spruce-Fir-Hardwood Forest,Conifer-Hardwood
2260,Tr Mediterranean California Lower Montane Black Oak Forest and Woodland,14,California black oak woodland,,2260,Tr Mediterranean California Lower Montane Black Oak Forest and Woodland,Tree,610,Conifer-Oak Forest and Woodland,Hardwood
2261,Tr Mediterranean California Lower Montane Black Oak - Conifer Forest and Woodland,16,Jeffrey pine-ponderosa pine-Douglas-fir-California black oak forest,,2261,Tr Mediterranean California Lower Montane Black Oak - Conifer Forest and Woodland,Tree,610,Conifer-Oak Forest and Woodland,Conifer-Hardwood
2262,Tr East Cascades Oak Forest and Woodland,6,Oregon white oak-Douglas-fir forest,,2262,Tr East Cascades Oak Forest and Woodland,Tree,610,Conifer-Oak Forest and Woodland,Hardwood
2263,Tr East Cascades Oak - Ponderosa Pine Forest and Woodland,361,Oregon white oak-ponderosa pine forest,,2263,Tr East Cascades Oak - Ponderosa Pine Forest and Woodland,Tree,610,Conifer-Oak Forest and Woodland,Conifer-Hardwood
2264,Tr California Lower Montane Blue Oak Forest and Woodland,36,California live oak-blue oak woodland,,2264,Tr California Lower Montane Blue Oak Forest and Woodland,Tree,610,Conifer-Oak Forest and Woodland,Hardwood
2265,Tr California Lower Montane Blue Oak-Foothill Pine Forest and Woodland,39,Sugar pine-Douglas-fir-oak forest,,2265,Tr California Lower Montane Blue Oak-Foothill Pine Forest and Woodland,Tree,610,Conifer-Oak Forest and Woodland,Conifer-Hardwood
2266,Tr Oregon White Oak Woodland,360,Oregon white oak forest,,2266,Tr Oregon White Oak Woodland,Tree,610,Conifer-Oak Forest and Woodland,Hardwood
2267,Tr Douglas-fir - Oregon White Oak Woodland,6,Oregon white oak-Douglas-fir forest,,2267,Tr Douglas-fir - Oregon White Oak Woodland,Tree,610,Conifer-Oak Forest and Woodland,Conifer-Hardwood
2301,Tr Boreal Aspen-Birch Forest,142,Quaking aspen-paper birch forest,,2301,Tr Boreal Aspen-Birch Forest,Tree,652,Aspen-Birch Forest,Hardwood
2302,Tr Laurentian-Acadian Northern Hardwoods Forest,110,American beech-yellow birch-sugar maple forest,,2302,Tr Laurentian-Acadian Northern Hardwoods Forest,Tree,682,Yellow Birch-Sugar Maple Forest,Hardwood
2303,Tr Northeastern Interior Dry-Mesic Oak Forest,123,White oak-northern red oak-black oak-hickory forest,,2303,Tr Northeastern Interior Dry-Mesic Oak Forest,Tree,660,White Oak-Red Oak-Hickory Forest and Woodland,Hardwood
2304,Tr Ozark-Ouachita Dry-Mesic Oak Forest,90,White oak-northern red oak forest,,2304,Tr Ozark-Ouachita Dry-Mesic Oak Forest,Tree,660,White Oak-Red Oak-Hickory Forest and Woodland,Hardwood
2305,Tr Southern Interior Low Plateau Dry-Mesic Oak Forest,275,Chestnut-white-northern red oak forest,,2305,Tr Southern Interior Low Plateau Dry-Mesic Oak Forest,Tree,661,Chestnut Oak Forest and Woodland,Hardwood
2306,Tr East Gulf Coastal Plain Northern Loess Plain Oak-Hickory Upland,123,White oak-northern red oak-black oak-hickory forest,,2306,Tr East Gulf Coastal Plain Northern Loess Plain Oak-Hickory Upland,Tree,667,White Oak-Beech Forest and Woodland,Hardwood
2307,Tr East Gulf Coastal Plain Northern Dry Upland Hardwood Forest,123,White oak-northern red oak-black oak-hickory forest,,2307,Tr East Gulf Coastal Plain Northern Dry Upland Hardwood Forest,Tree,658,Coastal Plain Oak Forest,Hardwood
2308,Tr Crosstimbers Oak Forest and Woodland,264,Post-blackjack oak forest,,2308,Tr Crosstimbers Oak Forest and Woodland,Tree,662,Post Oak Woodland and Savanna,Hardwood
2309,Tr Southern Appalachian Northern Hardwood Forest,110,American beech-yellow birch-sugar maple forest,,2309,Tr Southern Appalachian Northern Hardwood Forest,Tree,682,Yellow Birch-Sugar Maple Forest,Hardwood
2310,Tr North-Central Interior Dry-Mesic Oak Forest and Woodland,90,White oak-northern red oak forest,,2310,Tr North-Central Interior Dry-Mesic Oak Forest and Woodland,Tree,660,White Oak-Red Oak-Hickory Forest and Woodland,Hardwood
2311,Tr North-Central Interior Dry Oak Forest and Woodland,154,Bur oak savanna,,2311,Tr North-Central Interior Dry Oak Forest and Woodland,Tree,663,Black Oak Woodland and Savanna,Hardwood
2312,Tr Ouachita Montane Oak Forest,403,Post-blackjack-white oak forest,,2312,Tr Ouachita Montane Oak Forest,Tree,681,Montane Oak Forest,Hardwood
2313,Tr North-Central Interior Beech-Maple Forest,110,American beech-yellow birch-sugar maple forest,,2313,Tr North-Central Interior Beech-Maple Forest,Tree,655,Beech-Maple-Basswood Forest,Hardwood
2314,Tr North-Central Interior Maple-Basswood Forest,266,Sugar maple-basswood forest,,2314,Tr North-Central Interior Maple-Basswood Forest,Tree,655,Beech-Maple-Basswood Forest,Hardwood
2315,Tr Southern Appalachian Oak Forest,275,Chestnut-white-northern red oak forest,,2315,Tr Southern Appalachian Oak Forest,Tree,661,Chestnut Oak Forest and Woodland,Hardwood
2316,Tr Southern Piedmont Mesic Forest,269,Sugar maple-yellow poplar-American beech-oak forest,,2316,Tr Southern Piedmont Mesic Forest,Tree,667,White Oak-Beech Forest and Woodland,Hardwood
2317,Tr Allegheny-Cumberland Dry Oak Forest and Woodland,275,Chestnut-white-northern red oak forest,,2317,Tr Allegheny-Cumberland Dry Oak Forest and Woodland,Tree,661,Chestnut Oak Forest and Woodland,Hardwood
2318,Tr Southern and Central Appalachian Cove Forest,404,Yellow poplar-sugar maple-basswood forest,,2318,Tr Southern and Central Appalachian Cove Forest,Tree,655,Beech-Maple-Basswood Forest,Hardwood
2320,Tr Central and Southern Appalachian Montane Oak Forest,405,Northern red oak montane forest,,2320,Tr Central and Southern Appalachian Montane Oak Forest,Tree,681,Montane Oak Forest,Hardwood
2321,Tr Crowley's Ridge Mesic Loess Slope Forest,269,Sugar maple-yellow poplar-American beech-oak forest,,2321,Tr South-Central Interior Mesophytic Forest,Tree,655,Beech-Maple-Basswood Forest,Hardwood
2322,Tr South-Central Interior Mesophytic Forest,430,White oak-southern red oak forest,,2321,Tr Crowley's Ridge Mesic Loess Slope Forest,Tree,667,White Oak-Beech Forest and Woodland,Hardwood
2323,Tr West Gulf Coastal Plain Mesic Hardwood Forest,406,American beech-southern magnolia-oak forest,,2323,Tr West Gulf Coastal Plain Mesic Hardwood Forest,Tree,680,Sweetgum-Water Oak Forest,Hardwood
2324,Tr Northern Atlantic Coastal Plain Hardwood Forest,123,White oak-northern red oak-black oak-hickory forest,,2324,Tr Northern Atlantic Coastal Plain Hardwood Forest,Tree,658,Coastal Plain Oak Forest,Hardwood
2325,Tr East Gulf Coastal Plain Northern Mesic Hardwood Slope Forest,269,Sugar maple-yellow poplar-American beech-oak forest,,2325,Tr East Gulf Coastal Plain Northern Mesic Hardwood Slope Forest,Tree,680,Sweetgum-Water Oak Forest,Hardwood
2326,Tr South-Central Interior/Upper Coastal Plain Flatwoods,264,Post-blackjack oak forest,,2326,Tr South-Central Interior/Upper Coastal Plain Flatwoods,Tree,673,Hardwood Flatwoods,Hardwood
2327,Tr East Gulf Coastal Plain Northern Loess Bluff Forest,269,Sugar maple-yellow poplar-American beech-oak forest,,2327,Tr East Gulf Coastal Plain Northern Loess Bluff Forest,Tree,667,White Oak-Beech Forest and Woodland,Hardwood
2328,Tr Southern Coastal Plain Limestone Forest,431,Chinkapin oak-Shumard oak forest,,2328,Tr Southern Coastal Plain Limestone Forest,Tree,680,Sweetgum-Water Oak Forest,Hardwood
2329,Tr East Gulf Coastal Plain Southern Loess Bluff Forest,276,Oak-pine-magnolia forest,,2329,Tr East Gulf Coastal Plain Southern Loess Bluff Forest,Tree,667,White Oak-Beech Forest and Woodland,Hardwood
2330,Tr Southern Coastal Plain Dry Upland Hardwood Forest,407,Darlington oak  forest,,2330,Tr Southern Coastal Plain Dry Upland Hardwood Forest,Tree,658,Coastal Plain Oak Forest,Hardwood
2331,Tr Eastern Great Plains Tallgrass Aspen Parkland,408,Quaking aspen-bur oak forest,,2331,Tr Eastern Great Plains Tallgrass Aspen Parkland,Tree,602,"Aspen Forest, Woodland, and Parkland",Hardwood
2331,Tr Eastern Great Plains Tallgrass Aspen Parkland,408,Quaking aspen-bur oak forest,,2331,Tr Eastern Great Plains Tallgrass Aspen Parkland,Shrub,602,"Aspen Forest, Woodland, and Parkland",Shrubland
2333,Tr South Florida Hardwood Hammock,432,Florida poisontree-West Indian mahogany forest,,2333,Tr South Florida Hardwood Hammock,Tree,672,Hammocks,Hardwood
2334,Tr Ozark-Ouachita Mesic Hardwood Forest,180,Red maple-oak-hickory-sweetgum forest,,2334,Tr Ozark-Ouachita Mesic Hardwood Forest,Tree,655,Beech-Maple-Basswood Forest,Hardwood
2335,Tr Southern Atlantic Coastal Plain Dry and Dry-Mesic Oak Forest,186,Turkey oak-bluejack oak forest,,2335,Tr Southern Atlantic Coastal Plain Dry and Dry-Mesic Oak Forest,Tree,658,Coastal Plain Oak Forest,Hardwood
2336,Tr Southwest Florida Coastal Strand and Maritime Hammock,457,Florida strangler fig-gumbo limbo-cabbage palm forest,,2336,Tr Southwest Florida Coastal Strand and Maritime Hammock,Tree,672,Hammocks,Hardwood
