EVT_Fuel,EVT_Fuel_N,FCCSID,Fuelbed Name,,EVT_FUEL,EVT_FUEL_N,EVT_LF,EVT_GP,EVT_GP_N,EVT_PHYS
2029,Tr Mediterranean California Mixed Oak Woodland,14,California black oak woodland,,2029,Tr Mediterranean California Mixed Oak Woodland,Tree,629,Western Oak Woodland and Savanna,Hardwood
2030,Tr Mediterranean California Lower Montane Conifer Forest and Woodland,14,California black oak woodland,,2030,Tr Mediterranean California Lower Montane Conifer Forest and Woodland,Tree,610,Conifer-Oak Forest and Woodland,Conifer
2031,Tr California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,16,Jeffrey pine-ponderosa pine-Douglas-fir-California black oak forest,,2031,Tr California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,Tree,631,"Ponderosa Pine Forest, Woodland and Savanna",Conifer
2032,Tr Mediterranean California Red Fir Forest,17,Red fir forest,,2032,Tr Mediterranean California Red Fir Forest,Tree,633,Red Fir Forest and Woodland,Conifer
2033,Tr Mediterranean California Subalpine Woodland,12,Red fir-mountain hemlock-lodgepole pine-western white pine forest,,2033,Tr Mediterranean California Subalpine Woodland,Tree,640,Subalpine Woodland and Parkland,Conifer
2034,Tr Mediterranean California Mesic Serpentine Woodland and Chaparral,53,Pacific ponderosa pine forest,,2034,Tr Mediterranean California Mesic Serpentine Woodland and Chaparral,Tree,607,Chaparral,Conifer
2035,Tr North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,215,Douglas-fir-madrone/tanoak forest,,2035,Tr North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,Tree,614,Douglas-fir Forest and Woodland,Conifer
2036,Tr North Pacific Hypermaritime Seasonal Sitka Spruce Forest,10,Western hemlock-Douglas-fir-Sitka spruce forest,,2036,Tr North Pacific Hypermaritime Seasonal Sitka Spruce Forest,Tree,638,Sitka Spruce Forest,Conifer
2037,Tr North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,8,Western hemlock-Douglas-fir-western redcedar/vine maple forest,,2037,Tr North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Tree,615,Douglas-fir-Western Hemlock Forest and Woodland,Conifer
2038,Tr North Pacific Maritime Mesic Subalpine Parkland,238,Pacific silver fir-mountain hemlock forest,,2038,Tr North Pacific Maritime Mesic Subalpine Parkland,Tree,627,Mountain Hemlock Forest and Woodland,Conifer
