"area","fm_duff","fm_1000hr","can_con_pct","shrub_black_pct","pile_black_pct","fuelbeds","units","ecoregion"
100,80,50,90,80,90,9143,"tons","western"
100,80,50,90,80,90,9144,"tons","western"
100,80,50,90,80,90,9145,"tons","western"
100,80,50,90,80,90,9146,"tons","western"
100,80,50,90,80,90,9147,"tons","western"
100,80,50,90,80,90,9148,"tons","western"
100,80,50,90,80,90,9149,"tons","western"
100,80,50,90,80,90,9150,"tons","western"
100,80,50,90,80,90,9151,"tons","western"
100,80,50,90,80,90,9152,"tons","western"
100,80,50,90,80,90,9153,"tons","western"
100,80,50,90,80,90,9154,"tons","western"
100,80,50,90,80,90,9155,"tons","western"
100,80,50,90,80,90,9156,"tons","western"
100,80,50,90,80,90,9157,"tons","western"
100,80,50,90,80,90,9158,"tons","western"
100,80,50,90,80,90,9159,"tons","western"
100,80,50,90,80,90,9160,"tons","western"
100,80,50,90,80,90,9161,"tons","western"
100,80,50,90,80,90,9162,"tons","western"
100,80,50,90,80,90,9163,"tons","western"
100,80,50,90,80,90,9164,"tons","western"
100,80,50,90,80,90,9165,"tons","western"
100,80,50,90,80,90,9166,"tons","western"
100,80,50,90,80,90,9167,"tons","western"
100,80,50,90,80,90,9168,"tons","western"
100,80,50,90,80,90,9169,"tons","western"
100,80,50,90,80,90,9170,"tons","western"
100,80,50,90,80,90,9171,"tons","western"
100,80,50,90,80,90,9172,"tons","western"
100,80,50,90,80,90,9173,"tons","western"
100,80,50,90,80,90,9174,"tons","western"
100,80,50,90,80,90,9175,"tons","western"
100,80,50,90,80,90,9176,"tons","western"
100,80,50,90,80,90,9177,"tons","western"
100,80,50,90,80,90,9178,"tons","western"
100,80,50,90,80,90,9179,"tons","western"
100,80,50,90,80,90,9180,"tons","western"
100,80,50,90,80,90,9181,"tons","western"
100,80,50,90,80,90,9182,"tons","western"
100,80,50,90,80,90,9183,"tons","western"
100,80,50,90,80,90,9184,"tons","western"
100,80,50,90,80,90,9185,"tons","western"
100,80,50,90,80,90,9186,"tons","western"
100,80,50,90,80,90,9187,"tons","western"
100,80,50,90,80,90,9188,"tons","western"
100,80,50,90,80,90,9189,"tons","western"
100,80,50,90,80,90,9190,"tons","western"
100,80,50,90,80,90,9191,"tons","western"
100,80,50,90,80,90,9192,"tons","western"
100,80,50,90,80,90,9193,"tons","western"
100,80,50,90,80,90,9194,"tons","western"
100,80,50,90,80,90,9195,"tons","western"
100,80,50,90,80,90,9196,"tons","western"
100,80,50,90,80,90,9197,"tons","western"
100,80,50,90,80,90,9198,"tons","western"
100,80,50,90,80,90,9199,"tons","western"
100,80,50,90,80,90,9200,"tons","western"
100,80,50,90,80,90,9201,"tons","western"
100,80,50,90,80,90,9202,"tons","western"
100,80,50,90,80,90,9203,"tons","western"
100,80,50,90,80,90,9204,"tons","western"
100,80,50,90,80,90,9205,"tons","western"
100,80,50,90,80,90,9206,"tons","western"
100,80,50,90,80,90,9207,"tons","western"
100,80,50,90,80,90,9208,"tons","western"
100,80,50,90,80,90,9209,"tons","western"
100,80,50,90,80,90,9210,"tons","western"
100,80,50,90,80,90,9211,"tons","western"
100,80,50,90,80,90,9212,"tons","western"
100,80,50,90,80,90,9213,"tons","western"
100,80,50,90,80,90,9214,"tons","western"
100,80,50,90,80,90,9215,"tons","western"
100,80,50,90,80,90,9216,"tons","western"
100,80,50,90,80,90,9217,"tons","western"
100,80,50,90,80,90,9218,"tons","western"
100,80,50,90,80,90,9219,"tons","western"
100,80,50,90,80,90,9220,"tons","western"
100,80,50,90,80,90,9221,"tons","western"
100,80,50,90,80,90,9222,"tons","western"
100,80,50,90,80,90,9223,"tons","western"
100,80,50,90,80,90,9224,"tons","western"
100,80,50,90,80,90,9225,"tons","western"
100,80,50,90,80,90,9226,"tons","western"
100,80,50,90,80,90,9227,"tons","western"
100,80,50,90,80,90,9228,"tons","western"
100,80,50,90,80,90,9229,"tons","western"
100,80,50,90,80,90,9230,"tons","western"
100,80,50,90,80,90,9231,"tons","western"
100,80,50,90,80,90,9232,"tons","western"
100,80,50,90,80,90,9233,"tons","western"
100,80,50,90,80,90,9234,"tons","western"
100,80,50,90,80,90,9235,"tons","western"
100,80,50,90,80,90,9236,"tons","western"
100,80,50,90,80,90,9237,"tons","western"
100,80,50,90,80,90,9238,"tons","western"
100,80,50,90,80,90,9239,"tons","western"
100,80,50,90,80,90,9240,"tons","western"
100,80,50,90,80,90,9241,"tons","western"
100,80,50,90,80,90,9242,"tons","western"
100,80,50,90,80,90,9243,"tons","western"
100,80,50,90,80,90,9244,"tons","western"
100,80,50,90,80,90,9245,"tons","western"
100,80,50,90,80,90,9246,"tons","western"
100,80,50,90,80,90,9247,"tons","western"
100,80,50,90,80,90,9248,"tons","western"
100,80,50,90,80,90,9249,"tons","western"
100,80,50,90,80,90,9250,"tons","western"
100,80,50,90,80,90,9251,"tons","western"
100,80,50,90,80,90,9252,"tons","western"
100,80,50,90,80,90,9253,"tons","western"
100,80,50,90,80,90,9254,"tons","western"
100,80,50,90,80,90,9255,"tons","western"
100,80,50,90,80,90,9256,"tons","western"
100,80,50,90,80,90,9257,"tons","western"
100,80,50,90,80,90,9258,"tons","western"
100,80,50,90,80,90,9259,"tons","western"
100,80,50,90,80,90,9260,"tons","western"
100,80,50,90,80,90,9261,"tons","western"
100,80,50,90,80,90,9262,"tons","western"
100,80,50,90,80,90,9263,"tons","western"
100,80,50,90,80,90,9264,"tons","western"
100,80,50,90,80,90,9265,"tons","western"
100,80,50,90,80,90,9266,"tons","western"
100,80,50,90,80,90,9267,"tons","western"
100,80,50,90,80,90,9268,"tons","western"
100,80,50,90,80,90,9269,"tons","western"
100,80,50,90,80,90,9270,"tons","western"
100,80,50,90,80,90,9271,"tons","western"
100,80,50,90,80,90,9272,"tons","western"
100,80,50,90,80,90,9273,"tons","western"
100,80,50,90,80,90,9274,"tons","western"
100,80,50,90,80,90,9275,"tons","western"
100,80,50,90,80,90,9276,"tons","western"
100,80,50,90,80,90,9277,"tons","western"
100,80,50,90,80,90,9278,"tons","western"
100,80,50,90,80,90,9279,"tons","western"
100,80,50,90,80,90,9280,"tons","western"
100,80,50,90,80,90,9281,"tons","western"
100,80,50,90,80,90,9282,"tons","western"
100,80,50,90,80,90,9283,"tons","western"
100,80,50,90,80,90,9284,"tons","western"
100,80,50,90,80,90,9285,"tons","western"
100,80,50,90,80,90,9286,"tons","western"
100,80,50,90,80,90,9287,"tons","western"
100,80,50,90,80,90,9288,"tons","western"
100,80,50,90,80,90,9289,"tons","western"
100,80,50,90,80,90,9290,"tons","western"
100,80,50,90,80,90,9291,"tons","western"
100,80,50,90,80,90,9292,"tons","western"
100,80,50,90,80,90,9293,"tons","western"
100,80,50,90,80,90,9294,"tons","western"
100,80,50,90,80,90,9295,"tons","western"
100,80,50,90,80,90,9296,"tons","western"
100,80,50,90,80,90,9297,"tons","western"
100,80,50,90,80,90,9298,"tons","western"
100,80,50,90,80,90,9299,"tons","western"
100,80,50,90,80,90,9300,"tons","western"
100,80,50,90,80,90,9301,"tons","western"
100,80,50,90,80,90,9302,"tons","western"
100,80,50,90,80,90,9303,"tons","western"
100,80,50,90,80,90,9304,"tons","western"
100,80,50,90,80,90,9305,"tons","western"
100,80,50,90,80,90,9306,"tons","western"
100,80,50,90,80,90,9307,"tons","western"
100,80,50,90,80,90,9308,"tons","western"
100,80,50,90,80,90,9309,"tons","western"
100,80,50,90,80,90,9310,"tons","western"
100,80,50,90,80,90,9311,"tons","western"
100,80,50,90,80,90,9312,"tons","western"
100,80,50,90,80,90,9313,"tons","western"
100,80,50,90,80,90,9314,"tons","western"
100,80,50,90,80,90,9315,"tons","western"
100,80,50,90,80,90,9316,"tons","western"
100,80,50,90,80,90,9317,"tons","western"
100,80,50,90,80,90,9318,"tons","western"
100,80,50,90,80,90,9319,"tons","western"
100,80,50,90,80,90,9320,"tons","western"
100,80,50,90,80,90,9321,"tons","western"
100,80,50,90,80,90,9322,"tons","western"
100,80,50,90,80,90,9323,"tons","western"
100,80,50,90,80,90,9324,"tons","western"
100,80,50,90,80,90,9325,"tons","western"
100,80,50,90,80,90,9326,"tons","western"
100,80,50,90,80,90,9327,"tons","western"
100,80,50,90,80,90,9328,"tons","western"
100,80,50,90,80,90,9329,"tons","western"
100,80,50,90,80,90,9330,"tons","western"
100,80,50,90,80,90,9331,"tons","western"
100,80,50,90,80,90,9332,"tons","western"
100,80,50,90,80,90,9333,"tons","western"
100,80,50,90,80,90,9334,"tons","western"
100,80,50,90,80,90,9335,"tons","western"
100,80,50,90,80,90,9336,"tons","western"
100,80,50,90,80,90,9337,"tons","western"
100,80,50,90,80,90,9338,"tons","western"
100,80,50,90,80,90,9339,"tons","western"
100,80,50,90,80,90,9340,"tons","western"
100,80,50,90,80,90,9341,"tons","western"
100,80,50,90,80,90,9342,"tons","western"
100,80,50,90,80,90,9343,"tons","western"
100,80,50,90,80,90,9344,"tons","western"
100,80,50,90,80,90,9345,"tons","western"
100,80,50,90,80,90,9346,"tons","western"
100,80,50,90,80,90,9347,"tons","western"
100,80,50,90,80,90,9348,"tons","western"
100,80,50,90,80,90,9349,"tons","western"
100,80,50,90,80,90,9350,"tons","western"
100,80,50,90,80,90,9351,"tons","western"
100,80,50,90,80,90,9352,"tons","western"
100,80,50,90,80,90,9353,"tons","western"
100,80,50,90,80,90,9354,"tons","western"
100,80,50,90,80,90,9355,"tons","western"
