"fuelType","distr","n.obs","prop0","param1.est","param1.sd","param1.cv","param2.est","param2.sd","param2.cv","KS.pVal","equivalence.val"
"X100hr_loading_Mgha","lnormLL",1203,0.118,1.227,0.027,0.022,0.938,0.019,0.02,0,0.006
"X10hr_loading_Mgha","lnormLL",1333,0.023,0.493,0.028,0.056,1.025,0.02,0.019,0,0.011
"X10Khr_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X10KhrR_loading_Mgha","lnormLL",121,0.812,1.725,0.06,0.035,0.659,0.042,0.064,0.01,0.023
"X10KhrS_loading_Mgha","lnormLL",177,0.724,2.186,0.052,0.024,0.695,0.037,0.053,0,0.018
"X1hr_loading_Mgha","lnormLL",725,0.079,-1.91,0.056,-0.029,1.501,0.04,0.026,0,0.003
"X1Khr_loading_Mgha","gammaLL",128,0,1.064,0.122,0.115,0.053,0.008,0.146,0.98,0.006
"X1KhrR_loading_Mgha","lnormLL",244,0.636,0.653,0.062,0.095,0.97,0.044,0.046,0.172,0.002
"X1KhrS_loading_Mgha","lnormLL",419,0.375,1.214,0.054,0.045,1.113,0.039,0.035,0.179,0.005
"cwd_loading_Mgha","lnormLL",728,0.238,2.078,0.047,0.022,1.271,0.034,0.026,0,0.013
"cwd_rotten_loading_Mgha","lnormLL",460,0.489,1.571,0.064,0.041,1.366,0.045,0.033,0.009,0.007
"cwd_sound_loading_Mgha","lnormLL",594,0.371,1.769,0.053,0.03,1.303,0.038,0.029,0.235,0.004
"duff_depth_","gammaLL",245,0.008,1.746,0.09,0.051,2.787,0.109,0.039,0.018,0.004
"duff_loading_Mgha","gammaLL",476,0.044,1.012,0.059,0.058,0.064,0.005,0.075,0.17,0.008
"fwd_loading_Mgha","lnormLL",83,0,1.573,0.099,0.063,0.916,0.071,0.077,0.798,0.01
"GT10KhrR_loading_Mgha","gammaLL",43,0.933,2.806,0.654,0.233,0.126,0.032,0.256,0.02,0.038
"GT10KhrS_loading_Mgha","gammaLL",53,0.917,2.275,0.261,0.115,30.33,1.957,0.065,0.001,0.015
"herb_loading_Mgha","gammaLL",492,0.014,1.31,0.047,0.036,0.555,0.02,0.037,0,0.017
"herb_percentlive_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lichen_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"litter_depth_","gammaLL",183,0.005,2.094,0.207,0.099,1.744,0.196,0.112,0.201,0.008
"litter_loading_Mgha","lnormLL",580,0.002,1.864,0.04,0.021,0.967,0.028,0.029,0.003,0.003
"moss_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ms_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"os_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"shrub_loading_Mgha","lnormLL",301,0.096,0.544,0.052,0.095,0.904,0.037,0.041,0,0.016
"snag_loading_Mgha","lnormLL",175,0.426,1.429,0.096,0.067,1.256,0.066,0.053,0.916,0.002
"tree_crown_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_loading_Mgha","gammaLL",291,0.014,1.255,0.059,0.047,81.11,4.038,0.05,0.001,0.017
"us_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
