"fuelType","distr","n.obs","prop0","param1.est","param1.sd","param1.cv","param2.est","param2.sd","param2.cv","KS.pVal","equivalence.val"
"X100hr_loading_Mgha","gammaLL",987,0.043,2.176,0.092,0.042,0.299,0.014,0.048,0.028,0.002
"X10hr_loading_Mgha","gammaLL",1024,0.006,1.808,0.074,0.041,0.402,0.019,0.047,0.042,0.007
"X10Khr_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X10KhrR_loading_Mgha","lnormLL",240,0.663,2.514,0.053,0.021,0.809,0.037,0.045,0.037,0.009
"X10KhrS_loading_Mgha","lnormLL",369,0.484,2.702,0.043,0.016,0.821,0.03,0.037,0.059,0.004
"X1hr_loading_Mgha","gammaLL",473,0.012,1.52,0.093,0.061,1.502,0.107,0.071,0,0.015
"X1Khr_loading_Mgha","gammaLL",51,0,1.246,0.251,0.201,0.04,0.01,0.247,0.181,0.012
"X1KhrR_loading_Mgha","lnormLL",290,0.6,1.248,0.061,0.049,1.026,0.042,0.041,0.04,0.009
"X1KhrS_loading_Mgha","gammaLL",521,0.282,1.31,0.075,0.057,0.14,0.01,0.069,0.32,0.011
"cwd_loading_Mgha","gammaLL",715,0.173,1.047,0.049,0.047,0.025,0.001,0.06,0.056,0.004
"cwd_rotten_loading_Mgha","gammaLL",436,0.492,0.955,0.057,0.06,0.037,0.003,0.079,0.446,0.009
"cwd_sound_loading_Mgha","gammaLL",645,0.267,0.876,0.043,0.049,0.027,0.002,0.065,0.038,0.011
"duff_depth_","gammaLL",133,0.007,2.465,0.294,0.119,0.699,0.093,0.132,0.251,0.016
"duff_loading_Mgha","gammaLL",233,0.025,1.683,0.146,0.087,0.066,0.007,0.1,0.071,0.009
"fwd_loading_Mgha","gammaLL",198,0.005,2.315,0.225,0.097,0.217,0.024,0.109,0.003,0.019
"GT10KhrR_loading_Mgha","lnormLL",71,0.902,3.299,0.08,0.024,0.671,0.055,0.083,0.157,0.019
"GT10KhrS_loading_Mgha","lnormLL",142,0.802,3.57,0.052,0.015,0.618,0.037,0.06,0.003,0.029
"herb_loading_Mgha","gammaLL",249,0.053,1.023,0.083,0.081,2.54,0.262,0.103,0.26,0.01
"herb_percentlive_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lichen_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"litter_depth_","lnormLL",103,0,0.199,0.052,0.262,0.524,0.037,0.071,0.685,0.007
"litter_loading_Mgha","gammaLL",237,0.004,2.34,0.207,0.088,0.32,0.032,0.099,0.164,0.008
"moss_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ms_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"os_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"shrub_loading_Mgha","gammaLL",121,0.047,1.753,0.21,0.12,0.711,0.1,0.14,0.018,0.013
"snag_loading_Mgha","gammaLL",90,0.159,0.824,0.111,0.135,0.043,0.008,0.182,0.352,0.015
"tree_crown_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_loading_Mgha","gammaLL",105,0.009,1.515,0.198,0.131,0.01,0.002,0.156,0.152,0.011
"us_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
