"area","fm_duff","fm_1000hr","can_con_pct","shrub_black_pct","pile_black_pct","fuelbeds","units","ecoregion","fm_litter","season"
100,20,5,50,80,90,59112,"tons","western",4,"summer"
100,20,5,50,80,90,59113,"tons","western",4,"summer"
100,20,5,50,80,90,59114,"tons","western",4,"summer"
100,20,5,50,80,90,59115,"tons","western",4,"summer"
100,20,5,50,80,90,59116,"tons","western",4,"summer"
100,20,5,50,80,90,59117,"tons","western",4,"summer"
100,20,5,50,80,90,59118,"tons","western",4,"summer"
100,20,5,50,80,90,59119,"tons","western",4,"summer"
100,20,5,50,80,90,59120,"tons","western",4,"summer"
100,20,5,50,80,90,59121,"tons","western",4,"summer"
100,20,5,50,80,90,59122,"tons","western",4,"summer"
100,20,5,50,80,90,59123,"tons","western",4,"summer"
100,20,5,50,80,90,59124,"tons","western",4,"summer"
100,20,5,50,80,90,59125,"tons","western",4,"summer"
100,20,5,50,80,90,59126,"tons","western",4,"summer"
100,20,5,50,80,90,59127,"tons","western",4,"summer"
100,20,5,50,80,90,59128,"tons","western",4,"summer"
100,20,5,50,80,90,59129,"tons","western",4,"summer"
100,20,5,50,80,90,59130,"tons","western",4,"summer"
100,20,5,50,80,90,59131,"tons","western",4,"summer"
100,20,5,50,80,90,59132,"tons","western",4,"summer"
100,20,5,50,80,90,59133,"tons","western",4,"summer"
100,20,5,50,80,90,59134,"tons","western",4,"summer"
100,20,5,50,80,90,59135,"tons","western",4,"summer"
100,20,5,50,80,90,59136,"tons","western",4,"summer"
100,20,5,50,80,90,59137,"tons","western",4,"summer"
100,20,5,50,80,90,59138,"tons","western",4,"summer"
100,20,5,50,80,90,59139,"tons","western",4,"summer"
100,20,5,50,80,90,59140,"tons","western",4,"summer"
100,20,5,50,80,90,59141,"tons","western",4,"summer"
100,20,5,50,80,90,59142,"tons","western",4,"summer"
100,20,5,50,80,90,59143,"tons","western",4,"summer"
100,20,5,50,80,90,59144,"tons","western",4,"summer"
100,20,5,50,80,90,59145,"tons","western",4,"summer"
100,20,5,50,80,90,59146,"tons","western",4,"summer"
100,20,5,50,80,90,59147,"tons","western",4,"summer"
100,20,5,50,80,90,59148,"tons","western",4,"summer"
100,20,5,50,80,90,59149,"tons","western",4,"summer"
100,20,5,50,80,90,59150,"tons","western",4,"summer"
100,20,5,50,80,90,59151,"tons","western",4,"summer"
100,20,5,50,80,90,59152,"tons","western",4,"summer"
100,20,5,50,80,90,59153,"tons","western",4,"summer"
100,20,5,50,80,90,59154,"tons","western",4,"summer"
100,20,5,50,80,90,59155,"tons","western",4,"summer"
100,20,5,50,80,90,59156,"tons","western",4,"summer"
100,20,5,50,80,90,59157,"tons","western",4,"summer"
100,20,5,50,80,90,59158,"tons","western",4,"summer"
100,20,5,50,80,90,59159,"tons","western",4,"summer"
100,20,5,50,80,90,59160,"tons","western",4,"summer"
100,20,5,50,80,90,59161,"tons","western",4,"summer"
100,20,5,50,80,90,59162,"tons","western",4,"summer"
100,20,5,50,80,90,59163,"tons","western",4,"summer"
100,20,5,50,80,90,59164,"tons","western",4,"summer"
100,20,5,50,80,90,59165,"tons","western",4,"summer"
100,20,5,50,80,90,59166,"tons","western",4,"summer"
100,20,5,50,80,90,59167,"tons","western",4,"summer"
100,20,5,50,80,90,59168,"tons","western",4,"summer"
100,20,5,50,80,90,59169,"tons","western",4,"summer"
100,20,5,50,80,90,59170,"tons","western",4,"summer"
100,20,5,50,80,90,59171,"tons","western",4,"summer"
100,20,5,50,80,90,59172,"tons","western",4,"summer"
100,20,5,50,80,90,59173,"tons","western",4,"summer"
100,20,5,50,80,90,59174,"tons","western",4,"summer"
100,20,5,50,80,90,59175,"tons","western",4,"summer"
100,20,5,50,80,90,59176,"tons","western",4,"summer"
100,20,5,50,80,90,59177,"tons","western",4,"summer"
100,20,5,50,80,90,59178,"tons","western",4,"summer"
100,20,5,50,80,90,59179,"tons","western",4,"summer"
100,20,5,50,80,90,59180,"tons","western",4,"summer"
100,20,5,50,80,90,59181,"tons","western",4,"summer"
100,20,5,50,80,90,59182,"tons","western",4,"summer"
100,20,5,50,80,90,59183,"tons","western",4,"summer"
100,20,5,50,80,90,59184,"tons","western",4,"summer"
100,20,5,50,80,90,59185,"tons","western",4,"summer"
100,20,5,50,80,90,59186,"tons","western",4,"summer"
100,20,5,50,80,90,59187,"tons","western",4,"summer"
100,20,5,50,80,90,59188,"tons","western",4,"summer"
100,20,5,50,80,90,59189,"tons","western",4,"summer"
100,20,5,50,80,90,59190,"tons","western",4,"summer"
100,20,5,50,80,90,59191,"tons","western",4,"summer"
100,20,5,50,80,90,59192,"tons","western",4,"summer"
100,20,5,50,80,90,59193,"tons","western",4,"summer"
100,20,5,50,80,90,59194,"tons","western",4,"summer"
100,20,5,50,80,90,59195,"tons","western",4,"summer"
