fuelbeds,filename,c_total,c_canopy,c_shrub,c_herb,c_wood,c_llm,c_ground,c_total_f,c_canopy_f,c_shrub_f,c_herb_f,c_wood_f,c_llm_f,c_ground_f,c_total_s,c_canopy_s,c_shrub_s,c_herb_s,c_wood_s,c_llm_s,c_ground_s,c_total_r,c_canopy_r,c_wood_r,c_llm_r,c_ground_r,ch4,co,co2,nmhc,pm,pm10,pm25,e_ch4_f,e_co_f,e_co2_f,e_nmhc_f,e_pm_f,e_pm10_f,e_pm25_f,e_ch4_s,e_co_s,e_co2_s,e_nmhc_s,e_pm_s,e_pm10_s,e_pm25_s,e_ch4_r,e_co_r,e_co2_r,e_nmhc_r,e_pm_r,e_pm10_r,e_pm25_r,c_overstory_crown,c_midstory_crown,c_understory_crown,c_snagc1f_crown,c_snagc1f_wood,c_snagc1_wood,c_snagc2_wood,c_snagc3_wood,c_ladder,c_shrub_1live,c_shrub_2live,c_herb_1live,c_herb_2live,c_piles,c_wood_1hr,c_wood_10hr,c_wood_100hr,c_wood_s1000hr,c_wood_r1000hr,c_wood_s10khr,c_wood_r10khr,c_wood_s+10khr,c_wood_r+10khr,c_stump_sound,c_stump_rotten,c_stump_lightered,c_litter,c_lichen,c_moss,c_upperduff,c_lowerduff,c_basal,c_squirrel,ch4_canopy,ch4_shrub,ch4_herb,ch4_wood,ch4_llm,ch4_ground,co_canopy,co_shrub,co_herb,co_wood,co_llm,co_ground,co2_canopy,co2_shrub,co2_herb,co2_wood,co2_llm,co2_ground,nmhc_canopy,nmhc_shrub,nmhc_herb,nmhc_wood,nmhc_llm,nmhc_ground,pm_canopy,pm_shrub,pm_herb,pm_wood,pm_llm,pm_ground,pm10_canopy,pm10_shrub,pm10_herb,pm10_wood,pm10_llm,pm10_ground,pm25_canopy,pm25_shrub,pm25_herb,pm25_wood,pm25_llm,pm25_ground,heat_total,heat_flaming,heat_smoldering,heat_residual
52834,sobolSamplefb,23.13,7.86,0.5,0.19,4.17,1.21,9.2,11.15,6.71,0.45,0.18,1.81,1.09,0.92,8.44,0.82,0.05,0.02,1.0,0.12,6.44,3.54,0.33,1.37,0.0,1.84,208.39,4407.32,73518.03,155.17,791.96,567.98,521.3,33.45,992.25,37917.41,40.14,209.6,128.21,111.49,123.29,2406.69,25088.74,81.07,410.4,309.91,288.8,51.66,1008.38,10511.88,33.97,171.95,129.85,121.01,0.73,4.5,0.5,0.0,0.0,0.05,0.14,0.66,1.27,0.39,0.11,0.19,0.01,0.0,0.34,0.76,0.29,0.4,0.34,0.0,1.55,0.35,0.0,0.02,0.12,0.0,1.18,0.0,0.03,9.2,0.0,0.0,0.0,36.88,2.06,0.81,39.94,5.02,123.68,924.04,53.9,21.15,834.67,131.32,2442.23,26224.41,1666.74,653.98,13167.82,4070.01,27735.07,35.16,2.08,0.82,29.2,5.08,82.82,181.88,10.81,4.24,148.88,26.35,419.8,119.25,6.96,2.73,107.55,16.95,314.53,106.32,6.16,2.42,98.93,15.02,292.44,370105695.58,178382409.56,135112679.76,56610606.25
52835,sobolSamplefb,13.96,7.86,0.5,0.19,2.9,1.21,1.3,10.24,6.71,0.45,0.18,1.69,1.09,0.13,2.53,0.82,0.05,0.02,0.62,0.12,0.91,1.19,0.33,0.6,0.0,0.26,85.08,1972.41,45882.9,72.6,373.44,254.39,229.73,30.71,911.2,34820.26,36.86,192.48,117.74,102.38,36.99,722.05,7527.01,24.32,123.13,92.98,86.65,17.37,339.16,3535.62,11.42,57.84,43.67,40.7,0.73,4.5,0.5,0.0,0.0,0.05,0.14,0.66,1.27,0.39,0.11,0.19,0.01,0.0,0.34,0.76,0.29,0.4,0.4,0.0,0.22,0.35,0.0,0.02,0.12,0.0,1.18,0.0,0.03,1.3,0.0,0.0,0.0,36.88,2.06,0.81,22.81,5.02,17.5,924.04,53.9,21.15,496.5,131.32,345.49,26224.41,1666.74,653.98,9344.18,4070.01,3923.57,35.16,2.08,0.82,17.74,5.08,11.72,181.88,10.81,4.24,90.77,26.35,59.39,119.25,6.96,2.73,64.0,16.95,44.49,106.32,6.16,2.42,58.43,15.02,41.37,223388496.21,163811887.17,40535912.67,19040696.37
52836,sobolSamplefb,13.64,7.86,0.5,0.19,3.17,1.21,0.71,10.37,6.71,0.45,0.18,1.88,1.09,0.07,2.25,0.82,0.05,0.02,0.75,0.12,0.49,1.02,0.33,0.55,0.0,0.14,78.79,1853.82,44983.67,68.69,353.71,239.13,215.4,31.12,923.33,35283.79,37.35,195.04,119.31,103.75,32.82,640.71,6679.07,21.58,109.26,82.5,76.88,14.84,289.78,3020.81,9.76,49.41,37.32,34.77,0.73,4.5,0.5,0.0,0.0,0.05,0.14,0.66,1.27,0.39,0.11,0.19,0.01,0.0,0.34,0.76,0.29,0.4,0.4,0.6,0.0,0.25,0.0,0.02,0.12,0.0,1.18,0.0,0.03,0.71,0.0,0.0,0.0,36.88,2.06,0.81,24.51,5.02,9.5,924.04,53.9,21.15,535.75,131.32,187.65,26224.41,1666.74,653.98,10237.52,4070.01,2131.01,35.16,2.08,0.82,19.18,5.08,6.36,181.88,10.81,4.24,98.18,26.35,32.26,119.25,6.96,2.73,69.06,16.95,24.17,106.32,6.16,2.42,63.01,15.02,22.47,218230198.98,165992547.16,35969432.08,16268219.74
52837,sobolSamplefb,30.0,7.86,0.5,0.19,20.02,1.21,0.22,15.91,6.71,0.45,0.18,7.47,1.09,0.02,8.29,0.82,0.05,0.02,7.12,0.12,0.16,5.8,0.33,5.43,0.0,0.04,253.44,5431.57,95973.85,192.54,983.87,700.06,640.97,47.73,1416.11,54114.44,57.28,299.13,182.98,159.11,121.01,2362.15,24624.34,79.57,402.81,304.18,283.46,84.7,1653.31,17235.08,55.69,281.93,212.9,198.4,0.73,4.5,0.5,0.0,0.0,0.05,0.14,0.66,1.27,0.39,0.11,0.19,0.01,0.0,0.34,0.76,0.29,0.23,0.3,13.95,3.86,0.14,0.0,0.02,0.12,0.0,1.18,0.0,0.03,0.22,0.0,0.0,0.0,36.88,2.06,0.81,205.64,5.02,3.02,924.04,53.9,21.15,4241.54,131.32,59.61,26224.41,1666.74,653.98,62681.74,4070.01,676.97,35.16,2.08,0.82,147.37,5.08,2.02,181.88,10.81,4.24,750.35,26.35,10.25,119.25,6.96,2.73,546.48,16.95,7.68,106.32,6.16,2.42,503.91,15.02,7.14,480010670.7,254581317.87,132611702.79,92817650.03
52838,sobolSamplefb,12.44,7.86,0.5,0.19,2.68,1.21,0.0,10.09,6.71,0.45,0.18,1.66,1.09,0.0,1.56,0.82,0.05,0.02,0.55,0.12,0.0,0.8,0.33,0.47,0.0,0.0,64.63,1568.62,41297.2,58.91,304.03,202.39,181.38,30.26,897.66,34302.81,36.31,189.62,115.99,100.86,22.72,443.56,4623.97,14.94,75.64,57.12,53.23,11.65,227.39,2370.42,7.66,38.78,29.28,27.29,0.73,4.5,0.5,0.0,0.0,0.05,0.14,0.66,1.27,0.39,0.11,0.19,0.01,0.0,0.34,0.76,0.29,0.4,0.4,0.0,0.0,0.35,0.0,0.02,0.12,0.0,1.18,0.0,0.03,0.0,0.0,0.0,0.0,36.88,2.06,0.81,19.85,5.02,0.0,924.04,53.9,21.15,438.2,131.32,0.0,26224.41,1666.74,653.98,8682.06,4070.01,0.0,35.16,2.08,0.82,15.76,5.08,0.0,181.88,10.81,4.24,80.75,26.35,0.0,119.25,6.96,2.73,56.49,16.95,0.0,106.32,6.16,2.42,51.45,15.02,0.0,199045075.55,161377545.11,24901879.48,12765650.96
52839,sobolSamplefb,17.87,7.86,0.5,0.19,7.32,1.21,0.79,11.71,6.71,0.45,0.18,3.21,1.09,0.08,3.88,0.82,0.05,0.02,2.31,0.12,0.56,2.29,0.33,1.8,0.0,0.16,125.14,2799.15,58141.35,101.34,519.76,360.91,327.93,35.13,1042.19,39825.89,42.16,220.15,134.67,117.1,56.6,1104.89,11518.03,37.22,188.41,142.28,132.59,33.4,652.06,6797.44,21.96,111.19,83.97,78.25,0.73,4.5,0.5,0.0,0.0,0.05,0.14,0.66,1.27,0.39,0.11,0.19,0.01,0.0,0.34,0.76,0.29,0.25,0.36,3.93,1.1,0.15,0.0,0.02,0.12,0.0,1.18,0.0,0.03,0.79,0.0,0.0,0.0,36.88,2.06,0.81,69.7,5.02,10.66,924.04,53.9,21.15,1458.15,131.32,210.58,26224.41,1666.74,653.98,23134.72,4070.01,2391.5,35.16,2.08,0.82,51.05,5.08,7.14,181.88,10.81,4.24,260.28,26.35,36.2,119.25,6.96,2.73,187.89,16.95,27.12,106.32,6.16,2.42,172.8,15.02,25.22,285996802.66,187360838.25,62029100.56,36606863.84
52840,sobolSamplefb,23.98,7.86,0.5,0.19,11.88,1.21,2.34,13.0,6.71,0.45,0.18,4.34,1.09,0.23,6.55,0.82,0.05,0.02,3.91,0.12,1.64,4.42,0.33,3.63,0.0,0.47,199.26,4285.24,76820.32,152.17,777.84,552.33,505.39,39.0,1156.89,44208.64,46.8,244.38,149.49,129.99,95.68,1867.82,19471.18,62.92,318.51,240.52,224.14,64.57,1260.53,13140.51,42.46,214.95,162.32,151.26,0.73,4.5,0.5,0.0,0.0,0.05,0.14,0.66,1.27,0.39,0.11,0.19,0.01,0.0,0.34,0.76,0.29,0.24,0.31,6.23,3.43,0.14,0.0,0.02,0.12,0.0,1.18,0.0,0.03,2.34,0.0,0.0,0.0,36.88,2.06,0.81,123.08,5.02,31.4,924.04,53.9,21.15,2534.71,131.32,620.11,26224.41,1666.74,653.98,37162.93,4070.01,7042.26,35.16,2.08,0.82,87.99,5.08,21.03,181.88,10.81,4.24,447.97,26.35,106.59,119.25,6.96,2.73,326.57,16.95,79.86,106.32,6.16,2.42,301.21,15.02,74.25,383606191.42,207979465.11,104859928.77,70766797.54
52841,sobolSamplefb,34.93,7.86,0.5,0.19,5.64,1.21,19.53,13.05,6.71,0.45,0.18,2.68,1.09,1.95,16.37,0.82,0.05,0.02,1.69,0.12,13.67,5.51,0.33,1.28,0.0,3.91,358.58,7396.98,109396.48,257.02,1308.68,953.04,878.76,39.16,1161.84,44397.78,47.0,245.42,150.12,130.54,238.94,4664.16,48621.83,157.11,795.36,600.61,559.7,80.48,1570.99,16376.86,52.92,267.89,202.3,188.52,0.73,4.5,0.5,0.0,0.0,0.05,0.14,0.66,1.27,0.39,0.11,0.19,0.01,0.0,0.34,0.76,0.29,0.27,0.4,2.68,0.6,0.16,0.0,0.02,0.12,0.0,1.18,0.0,0.03,19.53,0.0,0.0,0.0,36.88,2.06,0.81,51.29,5.02,262.51,924.04,53.9,21.15,1082.71,131.32,5183.86,26224.41,1666.74,653.98,17911.13,4070.01,58870.21,35.16,2.08,0.82,38.08,5.08,175.79,181.88,10.81,4.24,194.33,26.35,891.06,119.25,6.96,2.73,139.53,16.95,667.61,106.32,6.16,2.42,128.1,15.02,620.73,558912772.95,208869289.41,261847645.71,88195837.83
52842,sobolSamplefb,14.6,7.86,0.5,0.19,4.68,1.21,0.17,10.52,6.71,0.45,0.18,2.08,1.09,0.02,2.34,0.82,0.05,0.02,1.22,0.12,0.12,1.73,0.33,1.37,0.0,0.03,91.08,2098.28,47899.56,77.01,395.94,270.61,244.64,31.57,936.56,35789.11,37.88,197.83,121.02,105.23,34.2,667.52,6958.56,22.48,113.83,85.96,80.1,25.32,494.21,5151.9,16.65,84.28,63.64,59.3,0.73,4.5,0.5,0.0,0.0,0.05,0.14,0.66,1.27,0.39,0.11,0.19,0.01,0.0,0.34,0.76,0.29,0.37,0.34,0.85,1.36,0.22,0.0,0.02,0.12,0.0,1.18,0.0,0.03,0.17,0.0,0.0,0.0,36.88,2.06,0.81,44.09,5.02,2.22,924.04,53.9,21.15,924.02,131.32,43.84,26224.41,1666.74,653.98,14786.58,4070.01,497.84,35.16,2.08,0.82,32.38,5.08,1.49,181.88,10.81,4.24,165.12,26.35,7.54,119.25,6.96,2.73,119.07,16.95,5.65,106.32,6.16,2.42,109.47,15.02,5.25,233589359.38,168369817.72,37474548.03,27744993.64
52843,sobolSamplefb,23.0,7.86,0.5,0.19,5.11,1.21,8.13,11.51,6.71,0.45,0.18,2.27,1.09,0.81,8.1,0.82,0.05,0.02,1.4,0.12,5.69,3.39,0.33,1.43,0.0,1.63,202.26,4298.56,73271.13,151.72,774.71,553.99,508.0,34.52,1024.17,39136.96,41.43,216.34,132.34,115.07,118.29,2309.13,24071.65,77.78,393.77,297.35,277.1,49.45,965.27,10062.52,32.51,164.6,124.3,115.83,0.73,4.5,0.5,0.0,0.0,0.05,0.14,0.66,1.27,0.39,0.11,0.19,0.01,0.0,0.34,0.76,0.29,0.31,0.35,1.43,1.29,0.19,0.0,0.02,0.12,0.0,1.18,0.0,0.03,8.13,0.0,0.0,0.0,36.88,2.06,0.81,48.23,5.02,109.26,924.04,53.9,21.15,1010.54,131.32,2157.61,26224.41,1666.74,653.98,16153.19,4070.01,24502.79,35.16,2.08,0.82,35.41,5.08,73.17,181.88,10.81,4.24,180.55,26.35,370.88,119.25,6.96,2.73,130.22,16.95,277.87,106.32,6.16,2.42,119.72,15.02,258.36,367945658.2,184119767.91,129635292.41,54190597.88
52844,sobolSamplefb,14.05,7.86,0.5,0.19,2.88,1.21,1.41,10.25,6.71,0.45,0.18,1.68,1.09,0.14,2.6,0.82,0.05,0.02,0.61,0.12,0.99,1.2,0.33,0.59,0.0,0.28,86.24,1995.41,46144.03,73.38,377.4,257.36,232.48,30.74,911.97,34849.73,36.89,192.64,117.84,102.47,38.01,741.88,7733.78,24.99,126.51,95.53,89.03,17.5,341.55,3560.52,11.5,58.24,43.98,40.99,0.73,4.5,0.5,0.0,0.0,0.05,0.14,0.66,1.27,0.39,0.11,0.19,0.01,0.0,0.34,0.76,0.29,0.4,0.4,0.0,0.2,0.35,0.0,0.02,0.12,0.0,1.18,0.0,0.03,1.41,0.0,0.0,0.0,36.88,2.06,0.81,22.51,5.02,18.96,924.04,53.9,21.15,490.57,131.32,374.42,26224.41,1666.74,653.98,9276.77,4070.01,4252.12,35.16,2.08,0.82,17.54,5.08,12.7,181.88,10.81,4.24,89.75,26.35,64.36,119.25,6.96,2.73,63.24,16.95,48.22,106.32,6.16,2.42,57.72,15.02,44.83,224774766.75,163950514.23,41649437.93,19174814.58
