Phase,CO2,CO,CH4,PM25,PM10,NOx,SO2,NH3,NMHC
Flame,5130.643,134.263,4.526,15.086,17.349,0.000,0.000,0.000,5.431
Smold,3291.665,315.761,16.176,37.891,40.661,0.000,0.000,0.000,10.636
Resid,1812.300,173.849,8.906,20.862,22.387,0.000,0.000,0.000,5.856
