"EVT","sourceID","studyPoint","fuelType"
700,618,29164,"X100hr_loading..Mg.ha"
700,630,33335,"fwd_loading..Mg.ha"
700,632,30313,"cwd_sound_loading..Mg.ha"
700,632,30325,"cwd_rotten_loading..Mg.ha"
700,632,30313,"cwd_loading..Mg.ha"
700,597,22824,"litter_loading..Mg.ha"
700,722,48638,"duff_depth..cm"
700,630,41727,"duff_loading..Mg.ha"
702,585,1423,"shrub_loading..Mg.ha"
702,588,5445,"herb_loading..Mg.ha"
702,630,33029,"X1hr_loading..Mg.ha"
702,610,28281,"X10hr_loading..Mg.ha"
702,610,27876,"X100hr_loading..Mg.ha"
702,630,33029,"fwd_loading..Mg.ha"
702,610,28281,"cwd_loading..Mg.ha"
702,630,27196,"litter_depth..cm"
702,630,27196,"litter_loading..Mg.ha"
703,606,32134,"X1hr_loading..Mg.ha"
703,586,9917,"X10hr_loading..Mg.ha"
703,606,32134,"fwd_loading..Mg.ha"
703,630,32845,"litter_depth..cm"
703,629,27681,"litter_loading..Mg.ha"
703,630,41780,"duff_loading..Mg.ha"
704,NA,NA,"herb_percentlive"
707,597,20382,"snag_loading..Mg.ha"
707,597,18378,"X10hr_loading..Mg.ha"
707,597,19389,"cwd_loading..Mg.ha"
707,597,19268,"duff_loading..Mg.ha"
740,597,22777,"snag_loading..Mg.ha"
740,597,18498,"X1hr_loading..Mg.ha"
740,597,18498,"X10hr_loading..Mg.ha"
740,597,19228,"X100hr_loading..Mg.ha"
740,597,19373,"cwd_loading..Mg.ha"
740,597,14842,"litter_loading..Mg.ha"
740,597,18483,"duff_loading..Mg.ha"
756,666,47766,"X1hr_loading..Mg.ha"
756,597,23339,"X10hr_loading..Mg.ha"
758,660,47715,"tree_crown_loading..Mg.ha"
758,570,1142,"snag_loading..Mg.ha"
758,571,1151,"shrub_loading..Mg.ha"
758,597,13943,"cwd_loading..Mg.ha"
758,656,47618,"lichen_loading..Mg.ha"
758,597,13852,"litter_loading..Mg.ha"
758,570,1120,"duff_loading..Mg.ha"
775,571,1143,"shrub_loading..Mg.ha"
