area,fm_duff,fm_1000hr,can_con_pct,shrub_black_pct,pile_black_pct,fuelbeds,units,ecoregion
100,80,50,90,80,90,90078,tons,western
100,80,50,90,80,90,13079,tons,western
100,80,50,90,80,90,90079,tons,western
100,80,50,90,80,90,13080,tons,western
100,80,50,90,80,90,90080,tons,western
100,80,50,90,80,90,13081,tons,western
100,80,50,90,80,90,90081,tons,western
100,80,50,90,80,90,13082,tons,western
100,80,50,90,80,90,90082,tons,western
100,80,50,90,80,90,13083,tons,western
100,80,50,90,80,90,90083,tons,western
100,80,50,90,80,90,13084,tons,western
100,80,50,90,80,90,90084,tons,western
100,80,50,90,80,90,13085,tons,western
100,80,50,90,80,90,90085,tons,western
100,80,50,90,80,90,13086,tons,western
100,80,50,90,80,90,90086,tons,western
100,80,50,90,80,90,13087,tons,western
100,80,50,90,80,90,90087,tons,western
100,80,50,90,80,90,13088,tons,western
100,80,50,90,80,90,90088,tons,western
100,80,50,90,80,90,13089,tons,western
100,80,50,90,80,90,90089,tons,western
100,80,50,90,80,90,13090,tons,western
100,80,50,90,80,90,90090,tons,western
100,80,50,90,80,90,13091,tons,western
100,80,50,90,80,90,90091,tons,western
100,80,50,90,80,90,13092,tons,western
100,80,50,90,80,90,90092,tons,western
100,80,50,90,80,90,13093,tons,western
100,80,50,90,80,90,90093,tons,western
100,80,50,90,80,90,13094,tons,western
100,80,50,90,80,90,90094,tons,western
100,80,50,90,80,90,13095,tons,western
100,80,50,90,80,90,90095,tons,western
100,80,50,90,80,90,13096,tons,western
100,80,50,90,80,90,90096,tons,western
100,80,50,90,80,90,13097,tons,western
100,80,50,90,80,90,90097,tons,western
100,80,50,90,80,90,13098,tons,western
100,80,50,90,80,90,90098,tons,western
100,80,50,90,80,90,13099,tons,western
100,80,50,90,80,90,90099,tons,western
100,80,50,90,80,90,13100,tons,western
100,80,50,90,80,90,90100,tons,western
100,80,50,90,80,90,13101,tons,western
100,80,50,90,80,90,90101,tons,western
100,80,50,90,80,90,13102,tons,western
100,80,50,90,80,90,90102,tons,western
100,80,50,90,80,90,13103,tons,western
100,80,50,90,80,90,90103,tons,western
100,80,50,90,80,90,13104,tons,western
100,80,50,90,80,90,90104,tons,western
100,80,50,90,80,90,13105,tons,western
100,80,50,90,80,90,90105,tons,western
100,80,50,90,80,90,13106,tons,western
100,80,50,90,80,90,90106,tons,western
100,80,50,90,80,90,13107,tons,western
100,80,50,90,80,90,90107,tons,western
100,80,50,90,80,90,13108,tons,western
100,80,50,90,80,90,90108,tons,western
100,80,50,90,80,90,13109,tons,western
100,80,50,90,80,90,90109,tons,western
100,80,50,90,80,90,13110,tons,western
100,80,50,90,80,90,90110,tons,western
100,80,50,90,80,90,13111,tons,western
100,80,50,90,80,90,90111,tons,western
100,80,50,90,80,90,13112,tons,western
100,80,50,90,80,90,90112,tons,western
100,80,50,90,80,90,13113,tons,western
100,80,50,90,80,90,90113,tons,western
100,80,50,90,80,90,13114,tons,western
100,80,50,90,80,90,90114,tons,western
100,80,50,90,80,90,13115,tons,western
100,80,50,90,80,90,90115,tons,western
100,80,50,90,80,90,13116,tons,western
100,80,50,90,80,90,90116,tons,western
100,80,50,90,80,90,13117,tons,western
100,80,50,90,80,90,90117,tons,western
100,80,50,90,80,90,13118,tons,western
100,80,50,90,80,90,90118,tons,western
100,80,50,90,80,90,13119,tons,western
100,80,50,90,80,90,90119,tons,western
100,80,50,90,80,90,13120,tons,western
100,80,50,90,80,90,90120,tons,western
100,80,50,90,80,90,13121,tons,western
100,80,50,90,80,90,90121,tons,western
100,80,50,90,80,90,13122,tons,western
100,80,50,90,80,90,90122,tons,western
100,80,50,90,80,90,13123,tons,western
100,80,50,90,80,90,90123,tons,western
100,80,50,90,80,90,13124,tons,western
100,80,50,90,80,90,90124,tons,western
100,80,50,90,80,90,13125,tons,western
100,80,50,90,80,90,90125,tons,western
100,80,50,90,80,90,13126,tons,western
100,80,50,90,80,90,90126,tons,western
100,80,50,90,80,90,13127,tons,western
100,80,50,90,80,90,90127,tons,western
100,80,50,90,80,90,13128,tons,western
100,80,50,90,80,90,90128,tons,western
100,80,50,90,80,90,13129,tons,western
100,80,50,90,80,90,90129,tons,western
100,80,50,90,80,90,13130,tons,western
100,80,50,90,80,90,90130,tons,western
100,80,50,90,80,90,13131,tons,western
100,80,50,90,80,90,90131,tons,western
100,80,50,90,80,90,13132,tons,western
100,80,50,90,80,90,90132,tons,western
100,80,50,90,80,90,13133,tons,western
100,80,50,90,80,90,90133,tons,western
100,80,50,90,80,90,13134,tons,western
100,80,50,90,80,90,90134,tons,western
100,80,50,90,80,90,13135,tons,western
100,80,50,90,80,90,90135,tons,western
100,80,50,90,80,90,13136,tons,western
100,80,50,90,80,90,90136,tons,western
100,80,50,90,80,90,13137,tons,western
100,80,50,90,80,90,90137,tons,western
100,80,50,90,80,90,13138,tons,western
100,80,50,90,80,90,90138,tons,western
100,80,50,90,80,90,13139,tons,western
100,80,50,90,80,90,90139,tons,western
100,80,50,90,80,90,13140,tons,western
100,80,50,90,80,90,90140,tons,western
100,80,50,90,80,90,13141,tons,western
100,80,50,90,80,90,90141,tons,western
100,80,50,90,80,90,13142,tons,western
100,80,50,90,80,90,90142,tons,western
100,80,50,90,80,90,13143,tons,western
100,80,50,90,80,90,90143,tons,western
100,80,50,90,80,90,13144,tons,western
100,80,50,90,80,90,90144,tons,western
100,80,50,90,80,90,13145,tons,western
100,80,50,90,80,90,90145,tons,western
100,80,50,90,80,90,13146,tons,western
100,80,50,90,80,90,90146,tons,western
100,80,50,90,80,90,13147,tons,western
100,80,50,90,80,90,90147,tons,western
100,80,50,90,80,90,13148,tons,western
100,80,50,90,80,90,90148,tons,western
100,80,50,90,80,90,13149,tons,western
100,80,50,90,80,90,90149,tons,western
100,80,50,90,80,90,13150,tons,western
100,80,50,90,80,90,90150,tons,western
100,80,50,90,80,90,13151,tons,western
100,80,50,90,80,90,90151,tons,western
100,80,50,90,80,90,13152,tons,western
100,80,50,90,80,90,90152,tons,western
100,80,50,90,80,90,13153,tons,western
100,80,50,90,80,90,90153,tons,western
100,80,50,90,80,90,13154,tons,western
100,80,50,90,80,90,90154,tons,western
100,80,50,90,80,90,13155,tons,western
100,80,50,90,80,90,90155,tons,western
100,80,50,90,80,90,13156,tons,western
100,80,50,90,80,90,90156,tons,western
100,80,50,90,80,90,13157,tons,western
100,80,50,90,80,90,90157,tons,western
100,80,50,90,80,90,13158,tons,western
100,80,50,90,80,90,90158,tons,western
100,80,50,90,80,90,13159,tons,western
100,80,50,90,80,90,90159,tons,western
100,80,50,90,80,90,13160,tons,western
100,80,50,90,80,90,90160,tons,western
100,80,50,90,80,90,13161,tons,western
100,80,50,90,80,90,90161,tons,western
100,80,50,90,80,90,13162,tons,western
100,80,50,90,80,90,90162,tons,western
100,80,50,90,80,90,13163,tons,western
100,80,50,90,80,90,90163,tons,western
100,80,50,90,80,90,13164,tons,western
100,80,50,90,80,90,90164,tons,western
100,80,50,90,80,90,13165,tons,western
100,80,50,90,80,90,90165,tons,western
100,80,50,90,80,90,13166,tons,western
100,80,50,90,80,90,90166,tons,western
100,80,50,90,80,90,13167,tons,western
100,80,50,90,80,90,90167,tons,western
100,80,50,90,80,90,13168,tons,western
100,80,50,90,80,90,90168,tons,western
100,80,50,90,80,90,13169,tons,western
100,80,50,90,80,90,90169,tons,western
100,80,50,90,80,90,13170,tons,western
100,80,50,90,80,90,90170,tons,western
100,80,50,90,80,90,13171,tons,western
100,80,50,90,80,90,90171,tons,western
100,80,50,90,80,90,13172,tons,western
100,80,50,90,80,90,90172,tons,western
100,80,50,90,80,90,13173,tons,western
100,80,50,90,80,90,90173,tons,western
100,80,50,90,80,90,13174,tons,western
100,80,50,90,80,90,90174,tons,western
100,80,50,90,80,90,13175,tons,western
100,80,50,90,80,90,90175,tons,western
100,80,50,90,80,90,13176,tons,western
100,80,50,90,80,90,90176,tons,western
100,80,50,90,80,90,13177,tons,western
100,80,50,90,80,90,90177,tons,western
100,80,50,90,80,90,13178,tons,western
100,80,50,90,80,90,90178,tons,western
100,80,50,90,80,90,13179,tons,western
100,80,50,90,80,90,90179,tons,western
100,80,50,90,80,90,13180,tons,western
100,80,50,90,80,90,90180,tons,western
100,80,50,90,80,90,13181,tons,western
100,80,50,90,80,90,90181,tons,western
100,80,50,90,80,90,13182,tons,western
100,80,50,90,80,90,90182,tons,western
100,80,50,90,80,90,13183,tons,western
100,80,50,90,80,90,90183,tons,western
100,80,50,90,80,90,13184,tons,western
100,80,50,90,80,90,90184,tons,western
100,80,50,90,80,90,13185,tons,western
100,80,50,90,80,90,90185,tons,western
100,80,50,90,80,90,13186,tons,western
100,80,50,90,80,90,90186,tons,western
100,80,50,90,80,90,13187,tons,western
100,80,50,90,80,90,90187,tons,western
100,80,50,90,80,90,13188,tons,western
100,80,50,90,80,90,90188,tons,western
100,80,50,90,80,90,13189,tons,western
100,80,50,90,80,90,90189,tons,western
100,80,50,90,80,90,13190,tons,western
100,80,50,90,80,90,90190,tons,western
100,80,50,90,80,90,13191,tons,western
100,80,50,90,80,90,90191,tons,western
100,80,50,90,80,90,13192,tons,western
100,80,50,90,80,90,90192,tons,western
100,80,50,90,80,90,13193,tons,western
100,80,50,90,80,90,90193,tons,western
100,80,50,90,80,90,13194,tons,western
100,80,50,90,80,90,90194,tons,western
100,80,50,90,80,90,13195,tons,western
