"","os_loading","ms_loading","us_loading","tree_loading","snag_loading","shrub_loading","herb_loading","herb_percentlive","moss_loading","lichen_loading","litter_loading","litter_depth","duff_loading","duff_depth","X1hr_loading","X10hr_loading","X100hr_loading","fwd_loading","X1000hrS_loading","X1000hrR_loading","X1000hr_loading","X10000hrS_loading","X10000hrR_loading","X10000hr_loading","GT10000hrS_loading","GT10000hrR_loading","GT10000hr_loading","cwd_sound_loading","cwd_rotten_loading","cwd_loading"
"os_loading",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ms_loading",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"us_loading",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_loading",NA,NA,NA,NA,0.590046454344591,-0.143873366565078,-0.422283395352858,NA,NA,NA,0.120760677559163,NA,-0.012642607075707,NA,0.116984565135979,0.277676035364865,0.296589208689193,0.315446985308324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.127293819562516
"snag_loading",NA,NA,NA,NA,NA,-0.245596180885703,-0.17157543081003,NA,NA,NA,0.0841751757505736,NA,0.222335116462631,NA,-0.0454130309023546,0.0177951076814972,0.209631175067116,0.164503100803098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0353532742529313
"shrub_loading",NA,NA,NA,NA,NA,NA,0.200674741449863,NA,NA,NA,-0.193342909988826,NA,-0.201611667446791,NA,-0.198127219062865,-0.431143175232146,-0.26728158822121,-0.341616029520167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.238457362293975
"herb_loading",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.340638614967297,NA,0.463607712740535,NA,-0.388474224441051,-0.486073800831781,-0.416886496530564,-0.485088835823248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.364939328616209
"herb_percentlive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"moss_loading",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lichen_loading",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
