"","os_loading","ms_loading","us_loading","tree_loading","snag_loading","shrub_loading","herb_loading","herb_percentlive","moss_loading","lichen_loading","litter_loading","litter_depth","duff_loading","duff_depth","X1hr_loading","X10hr_loading","X100hr_loading","fwd_loading","X1000hrS_loading","X1000hrR_loading","X1000hr_loading","X10000hrS_loading","X10000hrR_loading","X10000hr_loading","GT10000hrS_loading","GT10000hrR_loading","GT10000hr_loading","cwd_sound_loading","cwd_rotten_loading","cwd_loading"
"os_loading",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ms_loading",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"us_loading",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_loading",NA,NA,NA,NA,0.230933224932959,-0.115974679932303,-0.18697967344038,NA,NA,NA,0.0237418120082436,NA,0.0170996968212382,NA,0.00701154665432054,0.0584307275616242,0.0733960095925908,0.0776045293279881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0839738663735038
"snag_loading",NA,NA,NA,NA,NA,-0.0557993775472647,-0.0332262347695314,NA,NA,NA,0.0247001228324486,NA,0.0747890794356866,NA,0.0524492782978663,0.0597380772587626,0.0951161461755673,0.0976284431274001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.118866335151197
"shrub_loading",NA,NA,NA,NA,NA,NA,-0.0827521187282375,NA,NA,NA,0.0452472549895953,NA,0.037056787133205,NA,0.153123991997207,0.0767746211563556,0.0857465601473016,0.0980695307670353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0536305413057056
"herb_loading",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.23295506760704,NA,-0.062534808722531,NA,-0.116827094588601,-0.0690393693227555,-0.105703828491549,-0.111241124096156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0308673189275197
"herb_percentlive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"moss_loading",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"lichen_loading",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
