"fuelType","distr","n.obs","prop0","param1.est","param1.sd","param1.cv","param2.est","param2.sd","param2.cv","KS.pVal","equivalence.val","distr.fit.class"
"us_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ms_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"os_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_crown_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_loading_summed_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_loading_entered_Mgha","gammaLL",204,0.037,0.976,0.088,0.09,0.006,0.001,0.117,0.061,0.01,"Excellent"
"tree_loading_Mgha","gammaLL",204,0.037,0.976,0.088,0.09,0.006,0.001,0.116,0.06,0.01,"Excellent"
"snag_loading_Mgha","lnormLL",138,0.305,1.995,0.118,0.059,1.375,0.083,0.06,0.704,0.007,"Good"
"shrub_loading_Mgha","gammaLL",261,0.026,1.652,0.136,0.082,0.595,0.058,0.097,0,0.014,NA
"herb_loading_Mgha","gammaLL",463,0.015,1.305,0.079,0.06,2.722,0.201,0.074,0.021,0.015,NA
"X1hr_loading_Mgha","gammaLL",770,0.038,1.252,0.058,0.047,1.56,0.089,0.057,0.001,0.006,NA
"X10hr_loading_Mgha","gammaLL",890,0.03,1.499,0.066,0.044,0.511,0.027,0.052,0,0.014,NA
"X100hr_loading_Mgha","gammaLL",831,0.103,1.555,0.069,0.044,0.244,0.013,0.053,0.007,0.007,NA
"fwd_loading_summed_Mgha","gammaLL",791,0.011,1.536,0.069,0.045,0.157,0.008,0.053,0.003,0.01,NA
"fwd_loading_entered_Mgha","gammaLL",239,0.004,1.523,0.13,0.085,0.141,0.014,0.101,0.434,0.011,"Excellent"
"fwd_loading_Mgha","gammaLL",805,0.011,1.507,0.069,0.046,0.149,0.008,0.054,0.004,0.009,NA
"X1000hrS_loading_Mgha","lnormLL",251,0.333,1.312,0.066,0.051,1.043,0.047,0.045,0.044,0.008,NA
"X1000hrR_loading_Mgha","lnormLL",224,0.384,1.117,0.065,0.058,0.981,0.047,0.048,0.026,0.01,NA
"X1000hr_loading_summed_Mgha","gammaLL",304,0.159,1.207,0.088,0.073,0.153,0.014,0.091,0.053,0.016,"Excellent"
"X1000hr_loading_entered_Mgha","gammaLL",61,0,1.332,0.239,0.179,0.048,0.011,0.22,0.664,0.016,"Good"
"X1000hr_loading_Mgha","lnormLL",357,0.136,1.76,0.058,0.033,1.103,0.041,0.037,0.078,0.01,"Excellent"
"X10KhrS_loading_Mgha","lnormLL",115,0.673,2.697,0.085,0.032,0.907,0.06,0.066,0.563,0.01,"Good"
"X10KhrR_loading_Mgha","lnormLL",144,0.591,2.479,0.055,0.022,0.663,0.039,0.059,0.298,0.004,"Good"
"X10Khr_loading_summed_Mgha","lnormLL",217,0.381,2.711,0.055,0.02,0.83,0.039,0.047,0.577,0.003,"Excellent"
"X10Khr_loading_entered_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X10Khr_loading_Mgha","lnormLL",223,0.386,2.726,0.056,0.021,0.834,0.039,0.047,0.704,0.003,"Excellent"
"GT10KhrS_loading_Mgha","lnormLL",53,0.847,3.78,0.112,0.03,0.817,0.08,0.098,0.509,0.023,"Good"
"GT10KhrR_loading_Mgha","lnormLL",53,0.849,3.309,0.099,0.03,0.719,0.07,0.098,0.167,0.029,"Good"
"GT10Khr_loading_Mgha","lnormLL",97,0.719,3.588,0.083,0.023,0.802,0.057,0.071,0.29,0.02,"Good"
"cwd_sound_loading_Mgha","lnormLL",436,0.284,1.94,0.066,0.034,1.38,0.047,0.034,0.016,0.003,NA
"cwd_rotten_loading_Mgha","gammaLL",465,0.269,0.939,0.054,0.058,0.052,0.004,0.076,0.048,0.014,NA
"cwd_loading_summedByPieceSizeClass_Mgha","gammaLL",311,0.105,0.839,0.06,0.071,0.023,0.002,0.097,0.156,0.016,"Excellent"
"cwd_loading_summedBySR_Mgha","gammaLL",571,0.084,0.972,0.05,0.052,0.034,0.002,0.068,0.04,0.009,NA
"cwd_loading_entered_Mgha","gammaLL",488,0.099,0.874,0.049,0.056,0.034,0.002,0.073,0.055,0.013,"Excellent"
"cwd_loading_Mgha","gammaLL",765,0.084,0.916,0.042,0.045,0.034,0.002,0.059,0.015,0.011,NA
"lichen_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"moss_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"litter_depth_cm","gammaLL",232,0.009,2.305,0.201,0.087,1.741,0.172,0.099,0.058,0.008,"Excellent"
"litter_loading_Mgha","gammaLL",450,0.002,2.136,0.134,0.063,0.324,0.023,0.071,0.015,0.007,NA
"duff_depth_cm","gammaLL",270,0.011,2.24,0.182,0.081,0.769,0.07,0.091,0.022,0.012,NA
"duff_loading_Mgha","gammaLL",523,0.024,1.291,0.073,0.057,0.056,0.004,0.068,0.071,0.007,"Excellent"
