"fuelType","distr","n.obs","prop0","param1.est","param1.sd","param1.cv","param2.est","param2.sd","param2.cv","KS.pVal","equivalence.val","distr.fit.class"
"us_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ms_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"os_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_crown_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_loading_summed_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tree_loading_entered_Mgha","gammaLL",89,0.043,1.921,0.287,0.149,0.015,0.003,0.173,0.181,0.005,"Good"
"tree_loading_Mgha","gammaLL",89,0.043,1.921,0.283,0.147,0.015,0.003,0.169,0.165,0.005,"Good"
"snag_loading_Mgha","lnormLL",63,0.319,2.163,0.148,0.069,1.178,0.106,0.09,0.509,0.01,"Good"
"shrub_loading_Mgha","gammaLL",118,0.024,1.148,0.138,0.12,0.546,0.082,0.151,0,0.062,NA
"herb_loading_Mgha","gammaLL",142,0.014,1.36,0.155,0.114,3.687,0.502,0.136,0.727,0.01,"Excellent"
"X1hr_loading_Mgha","gammaLL",498,0.042,1.2,0.068,0.056,1.555,0.11,0.071,0.006,0.005,NA
"X10hr_loading_Mgha","gammaLL",841,0.013,1.497,0.067,0.045,0.458,0.024,0.053,0.1,0.01,"Excellent"
"X100hr_loading_Mgha","gammaLL",811,0.057,1.736,0.081,0.047,0.28,0.015,0.054,0.117,0.008,"Excellent"
"fwd_loading_summed_Mgha","gammaLL",514,0.006,1.691,0.096,0.057,0.176,0.012,0.067,0.169,0.005,"Excellent"
"fwd_loading_entered_Mgha","gammaLL",270,0.004,2.157,0.177,0.082,0.193,0.018,0.092,0.649,0.005,"Excellent"
"fwd_loading_Mgha","gammaLL",514,0.006,1.691,0.099,0.058,0.176,0.012,0.068,0.169,0.005,"Excellent"
"X1000hrS_loading_Mgha","gammaLL",472,0.234,1.192,0.07,0.058,0.155,0.011,0.072,0.021,0.015,NA
"X1000hrR_loading_Mgha","lnormLL",313,0.487,1.045,0.055,0.052,0.974,0.038,0.039,0.433,0.003,"Excellent"
"X1000hr_loading_summed_Mgha","gammaLL",542,0.119,1.372,0.075,0.055,0.146,0.01,0.066,0.03,0.012,NA
"X1000hr_loading_entered_Mgha","gammaLL",44,0,1.319,0.285,0.216,0.043,0.011,0.263,0.17,0.02,"Good"
"X1000hr_loading_Mgha","gammaLL",577,0.111,1.294,0.07,0.054,0.127,0.008,0.065,0.003,0.015,NA
"X10KhrS_loading_Mgha","lnormLL",273,0.551,2.471,0.052,0.021,0.853,0.036,0.043,0.037,0.005,NA
"X10KhrR_loading_Mgha","lnormLL",207,0.663,2.206,0.057,0.026,0.823,0.041,0.05,0.089,0.014,"Good"
"X10Khr_loading_summed_Mgha","lnormLL",393,0.36,2.579,0.045,0.018,0.888,0.031,0.035,0.043,0.003,NA
"X10Khr_loading_entered_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"X10Khr_loading_Mgha","lnormLL",393,0.36,2.579,0.045,0.018,0.888,0.032,0.036,0.037,0.003,NA
"GT10KhrS_loading_Mgha","lnormLL",54,0.909,3.612,0.085,0.023,0.618,0.058,0.094,0.291,0.029,"Good"
"GT10KhrR_loading_Mgha","lnormLL",46,0.922,3.114,0.058,0.018,0.389,0.041,0.105,0.362,0.038,"Good"
"GT10Khr_loading_Mgha","lnormLL",95,0.843,3.443,0.062,0.018,0.612,0.044,0.072,0.002,0.037,"Good"
"cwd_sound_loading_Mgha","lnormLL",565,0.197,2.279,0.052,0.023,1.237,0.037,0.03,0.021,0.011,NA
"cwd_rotten_loading_Mgha","lnormLL",430,0.389,1.987,0.06,0.03,1.214,0.041,0.033,0.16,0.009,"Excellent"
"cwd_loading_summedByPieceSizeClass_Mgha","gammaLL",550,0.096,1.106,0.059,0.054,0.039,0.003,0.068,0.06,0.011,"Excellent"
"cwd_loading_summedBySR_Mgha","gammaLL",649,0.086,1.125,0.056,0.05,0.041,0.003,0.063,0.03,0.01,NA
"cwd_loading_entered_Mgha","gammaLL",650,0.088,1.042,0.051,0.049,0.04,0.003,0.063,0.012,0.013,NA
"cwd_loading_Mgha","gammaLL",751,0.081,1.06,0.049,0.046,0.041,0.002,0.059,0.004,0.013,NA
"lichen_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"moss_loading_Mgha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"litter_depth_cm","gammaLL",40,0,2.469,0.606,0.246,0.687,0.187,0.273,0.225,0.019,"Good"
"litter_loading_Mgha","gammaLL",151,0.013,1.564,0.173,0.111,0.149,0.019,0.13,0.038,0.023,NA
"duff_depth_cm","gammaLL",83,0.012,2.381,0.371,0.156,0.627,0.109,0.174,0.015,0.014,"Good"
"duff_loading_Mgha","gammaLL",178,0.073,1.36,0.134,0.099,0.069,0.008,0.119,0.281,0.012,"Excellent"
